name,padrillo,M,Dam_Mean_T3_BSN,Best_Foal_Bsn,mother,Momsiblings,uncles,M_age_at_birth,MomSib_Sibs_raced_at2y,MomSib_wnrs_STK_at2y,birth_eday,MomSib_wnrs3yo_at2y,sex,FathSibSTKWnrsPerOffs,FathSibSTKWnrShL4Gens,PS,PR,PRS,date,title,source,eday,auctionYear,auctionOrder,haras1,ageAtAuction,valueUSDB,pricePerBp,Sire_PS,f_STK_races_total_races,raced_won_g1_yn,cei_per_offs
DON PUCHO,ROMAN RULER (USA),CANDEGGINA,,119.28292,.052633315,-.076497905,.024910837,6.0164385,1,0,29jul2016,0,2,.060457516,.039393939,,,,"31 jul, 2018",Resumen Venta Invierno Haras Vacacion,https://www.turfdiario.com/resumen-venta-invierno-haras-vacacion/,31jul2018,2018,1,Vacacion,2.0054793,16648.955,3335.7261,.36660644,.097054884,n-n-n,
QUORN,CURLINELLO (USA),QUIZAS,49.454643,107.21385,.069264829,.21735635,.031633526,7.7232876,2,0,26jul2016,0,1,.011627907,.011764706,,,,"7 Dec, 2018",Gran Venta Fallow Pellegrini  Resumen,https://www.turfdiario.com/gran-venta-fallow-pellegrini-resumen/,07dec2018,2018,9,Orilla Del Monte,2.3671234,43376.23,12855.677,.13739584,.074358977,n-n-n,7.6421065
TALENT GIRL,CIMA DE TRIOMPHE (IRE),TRUE TALENT,76.669922,64.914574,.053830057,-.076497905,.048144862,5.9452057,0,0,09aug2016,0,1,.01242236,.013245033,,,,"7 Dec, 2018",Gran Venta Fallow Pellegrini  Resumen,https://www.turfdiario.com/gran-venta-fallow-pellegrini-resumen/,07dec2018,2018,5,Orilla Del Monte,2.3287671,30983.023,39157.59,.14795923,.054190297,n-n-n,
NICHOLSON,MOST IMPROVED (IRE),NUBILIS,,80.626846,.071865708,-.076497905,.012718767,7.8410959,0,0,21aug2016,0,2,0,0,,,,"13 sep, 2018",Resumen Gran Venta Fallow Septiembre,https://www.turfdiario.com/resumen-gran-venta-fallow-septiembre/,13sep2018,2018,43,Razza Dormello Olgiata,2.0630138,1662.3376,1135.411,.1568158,.024390243,n-n-n,0
RUFFINO,INDY POINT,RENEE DUBOIS (IRE),,101.92924,.12530401,.0087010935,-.092068762,11.290411,4,0,25jul2016,0,2,0,0,,,,"13 sep, 2018",Resumen Gran Venta Fallow Septiembre,https://www.turfdiario.com/resumen-gran-venta-fallow-septiembre/,13sep2018,2018,42,Razza Dormello Olgiata,2.1369863,1870.1299,562.98053,.23160283,0,n-n-n,2.060082
JOY MURCIALIST,FORTIFY (USA),BURG MULISH,85.725311,109.09158,.078318268,-.076497905,.021787532,5.9150686,0,0,15jul2016,0,1,.057971016,.06666667,,,,"17 aug, 2018",Resumen  Liquidacion Total La Biznaga Productos 2016  Lote 2,https://www.turfdiario.com/resumen-liquidacion-total-la-biznaga-productos-2016-lote-2/,17aug2018,2018,95,,2.0904109,11055.276,1560.3335,.9010433,.25773194,n-n-n,
JOY MALAIKA,FORTIFY (USA),SHY MANDONA,,114.10693,-.30047089,.28319389,.0023668036,20.827396,7,1,11jul2016,2,1,.059701491,.06666667,,,,"17 aug, 2018",Resumen  Liquidacion Total La Biznaga Productos 2016  Lote 2,https://www.turfdiario.com/resumen-liquidacion-total-la-biznaga-productos-2016-lote-2/,17aug2018,2018,98,,2.1013699,6030.1509,814.85199,.90152073,.26041666,n-n-n,1.8260624
JOY KIWA,FORTIFY (USA),GIANT KNITTER,108.04398,99.920433,.10276988,-.076497905,.029045522,6.9315066,0,0,18jul2016,0,1,.054054055,.06666667,,,,"17 aug, 2018",Resumen  Liquidacion Total La Biznaga Productos 2016  Lote 2,https://www.turfdiario.com/resumen-liquidacion-total-la-biznaga-productos-2016-lote-2/,17aug2018,2018,62,,2.0821917,15075.377,2085.5791,.90068579,.25773194,y-n-n,
JOY LUCUMA,FORTIFY (USA),DALE LUNFA,105.91485,119.03688,.053832173,.1079765,-.026183732,16.01096,8,0,23jul2016,1,1,.051948052,.06666667,,,,"17 aug, 2018",Resumen  Liquidacion Total La Biznaga Productos 2016  Lote 2,https://www.turfdiario.com/resumen-liquidacion-total-la-biznaga-productos-2016-lote-2/,17aug2018,2018,74,,2.0684931,24120.604,3283.7493,.85054517,.24509804,y-y-y,4.0306244
DISTINGUIDA GIST,CAMPANOLOGIST (USA),DISTINGUIDA FITZ,119.10145,113.67633,-.10057616,.29560041,.049723729,20.008219,11,2,23jul2016,3,1,.012195121,.012345679,,,,"26 sep, 2018",Resumen Gran Venta Primavera Haras Firmamento,https://www.turfdiario.com/resumen-gran-venta-primavera-haras-firmamento/,26sep2018,2018,42,Firmamento,2.1780822,10230.851,2703.4854,.073872805,.085714288,y-y-n,4.9548621
