name,padrillo,M,Dam_Mean_T3_BSN,Best_Foal_Bsn,mother,Momsiblings,uncles,M_age_at_birth,MomSib_Sibs_raced_at2y,MomSib_wnrs_STK_at2y,birth_eday,MomSib_wnrs3yo_at2y,sex,FathSibSTKWnrsPerOffs,FathSibSTKWnrShL4Gens,PS,PR,PRS,date,title,source,eday,auctionYear,auctionOrder,haras1,ageAtAuction,valueUSDB,pricePerBp,Sire_PS,f_STK_races_total_races,raced_won_g1_yn,cei_per_offs
JEAN LOUIS,LENOVO,CANDY MILK (USA),,110.92698,-.094410241,.19130424,-.0081660748,11.457534,4,1,16sep2019,0,2,.0074074073,.0086206896,.033987064,.85251075,.028974338,"3 may, 2021",Resumen Gran Venta Polla Carnaval,https://www.turfdiario.com/resumen-gran-venta-polla-carnaval/,03may2021,2021,7,,1.630137,8274.5488,3305.3118,.13636506,.050000001,n-n-n,2.8226802
VAMOS SOFIA,SUPER SAVER (USA),LOREN TOP,70.418549,98.466316,.12730539,-.076360621,.025566816,9.0931511,1,0,14sep2019,0,1,.0071942448,.010869565,.03072653,.74189103,.022795737,"13 oct, 2021",Gran Venta Primavera Haras Firmamento  Resumen,https://www.turfdiario.com/gran-venta-primavera-haras-firmamento-resumen/,13oct2021,2021,35,Firmamento,2.0821917,8363.9297,2559.0583,.24109189,.17073171,n-n-n,
DR. TATI,REMOTE (GB),TATI NISTEL,,106.78201,.060193568,-.076360621,.035124689,7.0602741,0,0,03sep2019,0,2,.033834588,.0373444,.068842575,.77489012,.053345431,"3 may, 2021",Resumen Gran Venta Polla Carnaval,https://www.turfdiario.com/resumen-gran-venta-polla-carnaval/,03may2021,2021,19,,1.6657535,5910.3921,1001.9261,.2865355,.10757946,n-n-n,
BLUBERRY BLU,REMOTE (GB),MY BLUEBERRY,73.38913,77.310585,.082876503,-.028840635,.043573901,8.1506853,2,0,21sep2019,0,2,.032258064,.0373444,.071100883,.78502417,.055815913,"13 oct, 2021",Gran Venta Primavera Haras Firmamento  Resumen,https://www.turfdiario.com/gran-venta-primavera-haras-firmamento-resumen/,13oct2021,2021,17,Firmamento,2.0630138,8363.9297,1595.3164,.27899724,.10545024,n-n-n,.62701285
SWEETIE CAT,HURRICANE CAT (USA),SWEET SHINE,61.431812,116.97966,-.20702118,.23332003,-.0070441812,14.969863,8,1,01sep2019,2,1,.027777778,.014880952,.061806913,.74898833,.046292655,"24 may, 2022",Venta Plantel Yeguas Madre Haras La Quebrada  Resumen,https://www.turfdiario.com/venta-plantel-yeguas-madre-haras-la-quebrada-resumen/,24may2022,2022,29,La Quebrada,2.7287672,6333.9229,3332.5662,.16839378,.070298232,n-n-n,2.4957664
ESCOLA JOHAN,CURIOSO JOHAN,TOUGH CITY,90.480347,88.255959,-.21448046,.025878169,-.031231716,16.021917,2,0,01oct2019,0,1,0,0,.0031837639,.50597364,.0016109006,"22 oct, 2021",La Hermana De Top One Scape Y Top One City Al Tope En La Venta De La Catedral,https://www.turfdiario.com/la-hermana-de-top-one-scape-y-top-one-city-al-tope-en-la-venta-de-la-catedral/,22oct2021,2021,6,La Catedral,2.0602739,3696.1155,24162.717,-.32046714,.0076335878,n-n-n,.78006154
MAXIMO JOHAN,CURIOSO JOHAN,MUSICAL BOX,,110.87176,-.066220343,.10132217,.022621535,11.065753,2,0,04oct2019,1,2,0,0,.012125164,.59540379,.0072193686,"22 oct, 2021",La Hermana De Top One Scape Y Top One City Al Tope En La Venta De La Catedral,https://www.turfdiario.com/la-hermana-de-top-one-scape-y-top-one-city-al-tope-en-la-venta-de-la-catedral/,22oct2021,2021,2,La Catedral,2.0520549,4825.4839,9495.7529,-.32069626,.0074626864,n-n-n,1.0108094
ANDA CONMIGO,ANGIOLO,SERPENTINE LANE,98.367409,89.525314,.32830697,-.076360621,.02257964,6.9726028,0,0,08aug2019,0,2,.039119806,.040462427,.088336378,.89999998,.079502739,"24 apr, 2021",Resumen Gran Venta Seleccion  Haras El Paraiso,https://www.turfdiario.com/resumen-gran-venta-seleccion-haras-el-paraiso/,24apr2021,2021,46,El Paraiso,1.7123288,16455.969,2214.6345,.21402384,.085433573,y-y-n,
LEAR BLUE,LE BLUES,SERAS MI VIDA,,97.644653,.1450361,-.076360621,.023163483,3.9972603,0,0,03sep2019,0,1,.022727273,.026548672,.050632738,.82209015,.041624676,"26 sep, 2021",Resumen Venta Primavera Online Haras El Paraiso,https://www.turfdiario.com/resumen-venta-primavera-online-haras-el-paraiso/,26sep2021,2021,10,El Paraiso,2.0657535,9613.7119,2104.2124,.46269098,.15568863,n-n-n,
ESTIBADOR,IL CAMPIONE (CHI),SYLVIE,72.396751,102.75962,.060141444,-.076360621,.023212701,5.90137,0,0,06sep2019,0,2,.01438849,.024390243,.053440597,.83138359,.044429634,"24 apr, 2021",Resumen Gran Venta Seleccion  Haras El Paraiso,https://www.turfdiario.com/resumen-gran-venta-seleccion-haras-el-paraiso/,24apr2021,2021,28,El Paraiso,1.6328768,12419.599,2623.6914,.40224236,.22950819,n-n-n,
AMANTE REAL,ANGIOLO,SELHALY,83.788307,102.17434,.096876651,.028183341,.023212701,5.9479451,1,0,07sep2019,1,2,.039170507,.0433526,.075231776,.89999998,.067708597,"24 apr, 2021",Resumen Gran Venta Seleccion  Haras El Paraiso,https://www.turfdiario.com/resumen-gran-venta-seleccion-haras-el-paraiso/,24apr2021,2021,54,El Paraiso,1.630137,9004.209,1600.4454,.21024878,.083471075,y-n-n,
BOY ULTRAMINADO,SEEK AGAIN (USA),VISA BAY,106.64557,115.35195,-.27870226,.35195556,.02815482,20.786301,5,2,10aug2019,3,2,.014285714,.015748031,.035300717,.55297065,.01952026,"22 oct, 2021",La Hermana De Top One Scape Y Top One City Al Tope En La Venta De La Catedral,https://www.turfdiario.com/la-hermana-de-top-one-scape-y-top-one-city-al-tope-en-la-venta-de-la-catedral/,22oct2021,2021,21,Tiara Stud,2.2027397,7700.2402,6064.0415,.10382693,.045714285,y-n-n,2.8704216
FIFTY SIX,IL CAMPIONE (CHI),POLOMA (USA),,113.21363,.26492009,.16920784,-.018805854,9.5726023,2,1,05sep2019,1,2,.01459854,.024390243,.06363374,.88845748,.056535874,"21 may, 2021",Gran Venta Copa Bullrich Mayo  Dia 3  Resumen,https://www.turfdiario.com/gran-venta-copa-bullrich-mayo-dia-3-resumen/,21may2021,2021,122,Santa Ines,1.709589,28617.162,4095.7034,.37254405,.23333333,n-n-n,7.6893759
KEY BEACH,IL CAMPIONE (CHI),KEYANA WASHINGTON (USA),98.545761,106.7172,.34102958,.044267029,-.013051644,11.421918,3,0,04sep2019,0,1,.014705882,.024390243,.055918302,.87230456,.048777789,"19 oct, 2021",Gran Venta Fallow Jockey  Resumen,https://www.turfdiario.com/gran-venta-fallow-jockey-resumen/,19oct2021,2021,34,Don Arcangel,2.1260273,11502.581,3498.6531,.37263864,.22033899,n-n-n,.82569617
DUQUE PIETRO,ANGIOLO,JEU DE PAUME,83.729309,104.3685,.075775027,-.076360621,.04599914,7.0657535,0,0,07sep2019,0,2,.039170507,.0433526,.067509651,.89999998,.060758684,"11 mar, 2020",Resumen Gran Venta Anual Haras El Paraiso,https://www.turfdiario.com/resumen-gran-venta-anual-haras-el-paraiso-2/,11mar2020,2020,26,El Paraiso,.50958902,5094.3398,1318.3812,.21024878,.083471075,n-n-n,
ANY CLAIRE,ANGIOLO,DONNA VALENTE,,98.10862,.056853205,-.076360621,-.014073752,6.1068492,0,0,01sep2019,0,1,.039534885,.0433526,.037186339,.80438954,.029912302,"22 mar, 2021",Gran Venta Anual Haras El Paraiso  Resumen,https://www.turfdiario.com/gran-venta-anual-haras-el-paraiso-resumen/,22mar2021,2021,17,El Paraiso,1.5561644,4876.3252,2255.4851,.21207686,.084096588,n-n-n,
ALLAIA,ANGIOLO,STRONG DESIRE,94.232887,112.91445,.10021999,-.076360621,.023212701,7.7917809,0,0,02sep2019,0,1,.039351851,.0433526,.064669088,.85454279,.055262502,"26 sep, 2021",Resumen Venta Primavera Online Haras El Paraiso,https://www.turfdiario.com/resumen-venta-primavera-online-haras-el-paraiso/,26sep2021,2021,22,El Paraiso,2.0684931,5607.9985,1801.448,.21200795,.08402662,n-n-n,
LONG VIEW,LE BLUES,PITUSSA STONE,82.664131,91.941383,.17065918,-.076360621,.022666477,8.1534243,1,0,04sep2019,0,2,.022222223,.026548672,.043931667,.83240056,.036568742,"24 apr, 2021",Resumen Gran Venta Seleccion  Haras El Paraiso,https://www.turfdiario.com/resumen-gran-venta-seleccion-haras-el-paraiso/,24apr2021,2021,44,El Paraiso,1.6383562,10742.953,3916.0215,.4625816,.15568863,n-n-n,
GADZOOKS,GALAN DE CINE,FIRST FACE (USA),,118.09488,.20533493,.077380501,-.0066683739,10.361644,3,0,09sep2019,1,2,0,0,.032347925,.87761772,.028389111,"22 mar, 2021",Gran Venta Anual Haras El Paraiso  Resumen,https://www.turfdiario.com/gran-venta-anual-haras-el-paraiso-resumen/,22mar2021,2021,23,El Paraiso,1.5342466,3957.5972,3974.458,-.3112306,0,n-n-n,3.868216
ESCAPE HATCH,IL CAMPIONE (CHI),GLAD FANTASY,84.200424,115.17521,-.22991323,.26537356,-.015017129,17.912329,8,1,08sep2019,0,2,.014184397,.024390243,.051350001,.89999998,.046215001,"24 apr, 2021",Resumen Gran Venta Seleccion  Haras El Paraiso,https://www.turfdiario.com/resumen-gran-venta-seleccion-haras-el-paraiso/,24apr2021,2021,15,El Paraiso,1.6273973,14903.519,4156.1665,.38941664,.22950819,n-n-n,4.9550061
PESO ARGENTINO,LE BLUES,PELUSA INC,95.464577,123.01268,.083282501,-.076360621,.022469208,7.0109587,0,0,04oct2019,0,2,.020547945,.026548672,.022640055,.8155427,.018463932,"12 jun, 2020",Gran Venta Liquidacion Haras Santa Elena  Productos 2018/2019,https://www.turfdiario.com/gran-venta-liquidacion-haras-santa-elena-productos-2018-2019/,12jun2020,2020,52,Santa Elena,.69041097,558.96704,235.87094,.44360855,.14784946,n-n-n,
VUELVE PRIMAVERA,IN THE DARK,VENTOLINA HOLIDAY,85.301445,80.158485,.10398227,-.076360621,.052706912,8.0931511,1,0,21sep2019,0,1,.0084745763,.014705882,.020845363,.87298489,.018197687,"29 mar, 2021",Resumen Gran Venta Selecta Haras Abolengo Y Haras Vacacion,https://www.turfdiario.com/resumen-gran-venta-selecta-haras-abolengo-y-haras-vacacion/,29mar2021,2021,68,Vacacion,1.520548,31971.813,21206.166,.095576823,.06666667,n-n-n,0
KERENDON,KEANE,DAYSLEEPER,28.296238,90.747169,.05808112,-.076360621,.045910433,6.0191779,0,0,16sep2019,0,2,0,0,.024385286,.77518117,.018903015,"12 jun, 2020",Gran Venta Liquidacion Haras Santa Elena  Productos 2018/2019,https://www.turfdiario.com/gran-venta-liquidacion-haras-santa-elena-productos-2018-2019/,12jun2020,2020,63,Santa Elena,.73972601,1117.9341,712.4408,.060660318,,n-n-n,
KAPRICHOSO,KEANE,HARLAN CHOPERA,85.112602,87.725334,.13599575,-.076360621,.052706912,7.0931506,0,0,27aug2019,0,2,0,0,.028444199,.81216961,.023101514,"12 jun, 2020",Gran Venta Liquidacion Haras Santa Elena  Productos 2018/2019,https://www.turfdiario.com/gran-venta-liquidacion-haras-santa-elena-productos-2018-2019/,12jun2020,2020,58,Santa Elena,.79452056,2012.2814,1001.4818,.062892631,,n-n-n,
CHARLATANA SOY,EQUAL STRIPES,STORMY CONVICTA,93.095261,109.48978,-.11675608,.27330825,.031768143,12.027397,4,0,09sep2019,1,1,.047210302,.039506175,.095942274,.68845999,.066052414,"29 mar, 2021",Resumen Gran Venta Selecta Haras Abolengo Y Haras Vacacion,https://www.turfdiario.com/resumen-gran-venta-selecta-haras-abolengo-y-haras-vacacion/,29mar2021,2021,39,Abolengo,1.5534247,46978.988,13203.096,.33132103,.087772563,n-n-n,2.8199039
MATRICIAN,JOHN F KENNEDY (IRE),MATRICULAR,,85.580116,.057954818,-.076360621,.040069222,6.0273972,0,0,09sep2019,0,2,.01058201,.012987013,.031062964,.54215491,.016840938,"27 jun, 2021",Gran Venta Estrellas Haras Abolengo  Resumen,https://www.turfdiario.com/gran-venta-estrellas-haras-abolengo-resumen/,27jun2021,2021,30,Abolengo,1.8,4431.3071,3139.437,.12026061,.048192769,n-n-n,
IDEAL SONG,LONG ISLAND SOUND (USA),ILDIVA,75.650543,81.64077,.10059288,-.076360621,.04599914,9.1041098,1,0,10sep2019,0,1,0,0,.04277347,.6948238,.029720025,"29 mar, 2021",Resumen Gran Venta Selecta Haras Abolengo Y Haras Vacacion,https://www.turfdiario.com/resumen-gran-venta-selecta-haras-abolengo-y-haras-vacacion/,29mar2021,2021,73,Abolengo,1.5506849,10113.532,5336.3491,.12128143,,n-n-n,0
COSTO FINAL,JOHN F KENNEDY (IRE),COSA NOBLE,108.56783,,.16752997,-.076360621,.010051854,7.9616437,0,0,11sep2019,0,2,.010471204,.012987013,.031540915,.61476481,.019390244,"15 aug, 2021",Beta Linda El Precio Mas Alto En La Venta De Abolengo / Resumen,https://www.turfdiario.com/beta-linda-el-precio-mas-alto-en-la-venta-de-abolengo-resumen/,15aug2021,2021,10,,1.9287671,6471.7988,3942.8025,.12005921,.048192769,y-n-n,
EMILY RICH,COSMIC TRIGGER,EMANECIDA,60.422428,112.23977,.074849635,-.076360621,-.00082536787,9.0876713,1,0,12sep2019,0,1,.0057803467,.0073529412,.014298477,.50365335,.007201476,"15 aug, 2021",Beta Linda El Precio Mas Alto En La Venta De Abolengo / Resumen,https://www.turfdiario.com/beta-linda-el-precio-mas-alto-en-la-venta-de-abolengo-resumen/,15aug2021,2021,11,,1.9260274,4314.5327,5333.2949,-.0029771179,.10328639,n-n-n,.34865671
GALERINDO,COSMIC TRIGGER,GALERISTA,100.4359,92.468742,-.1915589,.045496643,.016582109,15.054794,4,0,13sep2019,1,2,.0057142857,.0073529412,.016490187,.62045801,.010231469,"15 aug, 2021",Beta Linda El Precio Mas Alto En La Venta De Abolengo / Resumen,https://www.turfdiario.com/beta-linda-el-precio-mas-alto-en-la-venta-de-abolengo-resumen/,15aug2021,2021,1,,1.9232876,7820.0903,4166.7788,-.0030850023,.10328639,n-n-n,.41505009
SERE BUENO,JOHN F KENNEDY (IRE),SERACINA,,96.898857,.085579693,-.076360621,.039996564,5.0958905,0,0,13sep2019,0,2,.010416667,.012987013,.035230752,.644117,.022692727,"15 aug, 2021",Beta Linda El Precio Mas Alto En La Venta De Abolengo / Resumen,https://www.turfdiario.com/beta-linda-el-precio-mas-alto-en-la-venta-de-abolengo-resumen/,15aug2021,2021,27,,1.9232876,5716.7554,2408.5764,.11985798,.048192769,n-n-n,
INTENSE SOUND,LONG ISLAND SOUND (USA),INTENSE LOVE,,97.133362,.020680994,.0020473525,.025470793,10.00548,2,0,13sep2019,0,2,0,0,.047402978,.70304459,.033326406,"27 jun, 2021",Gran Venta Estrellas Haras Abolengo  Resumen,https://www.turfdiario.com/gran-venta-estrellas-haras-abolengo-resumen/,27jun2021,2021,27,Abolengo,1.789041,6813.1343,3000.4678,.12093429,,n-n-n,.66423035
MAYLA JOHAN,CURIOSO JOHAN,MAYLA INC,98.795731,91.246803,.12621629,-.076360621,.022469208,8.0191784,0,0,08oct2019,0,1,0,0,.0045993109,.60388684,.0027774633,"22 oct, 2021",La Hermana De Top One Scape Y Top One City Al Tope En La Venta De La Catedral,https://www.turfdiario.com/la-hermana-de-top-one-scape-y-top-one-city-al-tope-en-la-venta-de-la-catedral/,22oct2021,2021,7,La Catedral,2.041096,4620.144,21436.363,-.32100132,.0074074073,n-n-n,
SEÑORA BAGACES,LIZARD ISLAND (USA),SENORA SAEKI (USA),104.74164,107.83607,-.0024703741,.027359895,-.02068723,10.528768,2,0,05aug2019,0,1,.025920874,.015723271,.034911647,.77752393,.027144641,"15 jun, 2021",Gran Venta Fallow Republica  Resumen,https://www.turfdiario.com/gran-venta-fallow-republica-resumen-2/,15jun2021,2021,42,El Solitario,1.8630137,3305.3804,2220.3926,.085496679,.048217669,y-n-n,1.2571535
LA PREFERITA,BODEMEISTER (USA),LA CAPELLETA,51.317303,90.103157,.056368649,-.076360621,.039851904,6.1479454,0,0,20sep2019,0,1,0,0,.035621792,.58980203,.021009805,"25 jun, 2021",Venta Copa Bullrich Junio  Resumen,https://www.turfdiario.com/venta-copa-bullrich-junio-resumen/,25jun2021,2021,10,La Pasion,1.7643836,6087.8467,5137.0049,.11298987,,n-n-n,
DIVICENZO,EASING ALONG (USA),DEVOTION UNBRIDLED (USA),,109.51155,-.062736332,.12730396,-.095547467,19.424658,5,0,18sep2019,1,2,.059139784,.033557046,.052288491,.74563247,.038987998,"28 apr, 2021",Resumen  Venta Seleccion Productos 2019 Haras La Pasion,https://www.turfdiario.com/resumen-venta-seleccion-productos-2019-haras-la-pasion/,28apr2021,2021,5,La Pasion,1.6109589,18958.584,5381.2813,.31071672,.1019989,n-n-n,1.2242882
VALESKA,MANIPULATOR (USA),VECINA BELLA,85.731239,96.689262,.36634225,-.036151402,.0086681694,9.2027397,2,0,29sep2019,0,1,.028627839,.030985916,.080676824,.70703024,.057040952,"1 jul, 2021",Gran Venta Fallow Estrellas  Resumen,https://www.turfdiario.com/gran-venta-fallow-estrellas-resumen-2/,01jul2021,2021,23,La Pasion,1.7561644,4571.1475,1865.1877,.059046909,.046777025,y-y-n,.52197903
BLUE MARLIN,LIZARD ISLAND (USA),BATHALA (IRE),80.430962,93.953484,.16039845,-.076360621,-.095547467,8.4602737,0,0,29sep2019,0,2,.024358975,.015723271,.079924278,.6229915,.049792144,"19 oct, 2021",Gran Venta Fallow Jockey  Resumen,https://www.turfdiario.com/gran-venta-fallow-jockey-resumen/,19oct2021,2021,6,La Pasion,2.0575342,2942.5208,1675.4297,.081742778,.048310813,n-n-n,0
ALANYURT,EASING ALONG (USA),AFRIKANA,105.59744,97.268021,.15996364,-.076360621,.035563156,9.1589041,0,0,27sep2019,0,2,.058949623,.033557046,.055157244,.72287893,.039872009,"28 apr, 2021",Resumen  Venta Seleccion Productos 2019 Haras La Pasion,https://www.turfdiario.com/resumen-venta-seleccion-productos-2019-haras-la-pasion/,28apr2021,2021,6,La Pasion,1.5863013,8750.1152,2717.2195,.31156942,.10220277,n-n-n,
INGENITO,BODEMEISTER (USA),ILUSORA (USA),114.87321,93.805893,.2826609,-.011020645,-.019877605,12.419178,2,0,24sep2019,0,2,0,0,.084159128,.72926807,.061374564,"28 apr, 2021",Resumen  Venta Seleccion Productos 2019 Haras La Pasion,https://www.turfdiario.com/resumen-venta-seleccion-productos-2019-haras-la-pasion/,28apr2021,2021,29,La Pasion,1.5945206,17791.902,5002.5562,.11255801,,y-y-n,1.1177655
CALA TANDE,BODEMEISTER (USA),CILINDRADA (USA),119.33623,98.874069,-.13843071,.082677506,-.028577313,13.605479,4,0,21sep2019,0,1,0,0,.042583659,.72493011,.030870177,"28 apr, 2021",Resumen  Venta Seleccion Productos 2019 Haras La Pasion,https://www.turfdiario.com/resumen-venta-seleccion-productos-2019-haras-la-pasion/,28apr2021,2021,47,La Pasion,1.6027397,19250.254,11537.893,.11284724,,y-n-n,.93339849
ROMEO SI,SILENTIO (USA),DE VERONA SPA,,81.34256,.061089426,-.076360621,-.0011489838,7.1095891,1,0,09sep2019,0,2,0,0,.026407829,.65682662,.017345365,"21 apr, 2021",Resumen Gran Venta De Productos 2019 Haras Vadarkblar,https://www.turfdiario.com/resumen-gran-venta-de-productos-2019-haras-vadarkblar/,21apr2021,2021,25,Vadarkblar,1.6164384,1630.9369,1382.5601,.12757795,,n-n-n,0
PRETENDING,FLESH FOR FANTASY,PRETTY LITTLE,74.267685,59.962109,-.11872709,-.076360621,-.0060608387,12.150685,1,0,19sep2019,0,2,0,0,.0042862045,.65928108,.0028258136,"25 jun, 2021",Venta Copa Bullrich Junio  Resumen,https://www.turfdiario.com/venta-copa-bullrich-junio-resumen/,25jun2021,2021,50,San F. Chico,1.7671233,2158.4182,4843.3574,-.073227957,.030133929,n-n-n,0
EL DE ZEVI,ASPIRE (USA),ZEVI,73.048538,98.137474,.036081344,-.076360621,.0062229857,9.936986,2,0,10sep2019,0,2,.0034129692,0,.009953036,.83908218,.0083514154,"21 apr, 2021",Resumen Gran Venta De Productos 2019 Haras Vadarkblar,https://www.turfdiario.com/resumen-gran-venta-de-productos-2019-haras-vadarkblar/,21apr2021,2021,2,Vadarkblar,1.6136986,3914.2485,4124.3428,-.060464881,.019209661,n-n-n,.29059544
GAME TIME,SAFETY CHECK (IRE),PEGWELL PARK (CAN),,110.37868,.18090793,.22563151,-.034202635,10.652055,4,0,10sep2019,2,2,0,0,.066000439,.82877195,.054699313,"23 apr, 2021",Gran Venta De Productos 2019 Haras Don Yayo Y Haras Vikeda  Resumen,https://www.turfdiario.com/gran-venta-de-productos-2019-haras-don-yayo-y-haras-vikeda-resumen/,23apr2021,2021,4,Don Yayo,1.6191781,4839.4995,987.22058,.12162185,.07692308,n-n-n,2.4720664
FANTASTIC WOMAN,IN THE DARK,FLANDEGAM,96.093529,102.0005,.09749034,-.076360621,.04599914,6.0958905,0,0,02sep2019,0,1,0,0,.029193936,.86874437,.025362067,"12 jun, 2020",Gran Venta Liquidacion Haras Santa Elena  Productos 2018/2019,https://www.turfdiario.com/gran-venta-liquidacion-haras-santa-elena-productos-2018-2019/,12jun2020,2020,59,Santa Elena,.77808219,8384.5059,4214.4712,.011582166,.035714287,y-n-n,
CONSEJERO ESPAÑOL,CATCHER IN THE RYE (IRE),CANGAS DE ONIS,118.22396,105.60237,.33372271,-.076360621,.074347571,8.0712328,0,0,12sep2019,0,2,.027068833,.019662922,.077636838,.81128019,.062985227,"18 jul, 2021",Venta Estrellas Haras Vacacion  Resumen,https://www.turfdiario.com/venta-estrellas-haras-vacacion-resumen/,18jul2021,2021,9,Vacacion,1.849315,7860.082,1477.1694,.17621979,.066538967,y-y-n,
DULCE DAMASIA,CATCHER IN THE RYE (IRE),DOLCE DIVA,95.829826,107.42051,.28711402,.039070264,.023745418,9.1397257,3,0,17sep2019,1,1,.02686109,.019662922,.070680834,.66697347,.047142241,"12 jun, 2020",Gran Venta Liquidacion Haras Santa Elena  Productos 2018/2019,https://www.turfdiario.com/gran-venta-liquidacion-haras-santa-elena-productos-2018-2019/,12jun2020,2020,53,Santa Elena,.73698628,11179.341,6400.4907,.16891155,.066693529,y-y-n,1.1812968
ABRAZO FUERTE,IN THE DARK,ANETA,106.26134,96.83651,.099963486,.097040184,.072534829,11.175343,4,0,14sep2019,1,2,.0090090092,.014705882,.076878972,.89999998,.069191076,"22 may, 2021",Gran Venta Otono  Haras Vacacion,https://www.turfdiario.com/gran-venta-otono-haras-vacacion/,22may2021,2021,21,Vacacion,1.6876712,6590.8296,1415.3018,.10528702,.068965517,y-y-n,.94804215
FEEL COOL,IN THE DARK,FOOL TO CRY,46.664173,100.86784,-.16431653,.065156348,.02218318,14.035617,4,0,14sep2019,0,2,.0090090092,.014705882,.04005342,.89999998,.036048077,"29 mar, 2021",Resumen Gran Venta Selecta Haras Abolengo Y Haras Vacacion,https://www.turfdiario.com/resumen-gran-venta-selecta-haras-abolengo-y-haras-vacacion/,29mar2021,2021,76,Vacacion,1.539726,49588.934,14795.006,.10528702,.068965517,n-n-n,1.9694879
POSEDONIA,HURRICANE CAT (USA),PLANCHETINA,94.326675,83.377045,.10724953,-.076360621,.022666477,8.0246572,0,0,16sep2019,0,1,.02733119,.014880952,.029161774,.82971299,.024195902,"18 jul, 2021",Venta Estrellas Haras Vacacion  Resumen,https://www.turfdiario.com/venta-estrellas-haras-vacacion-resumen/,18jul2021,2021,22,Vacacion,1.8383561,4499.2192,2022.4882,.1672595,.069830716,n-n-n,0
SUEÑO PROFUNDO,IN THE DARK,SKYMPY,115.72814,116.14449,.18561399,.13663685,-.0036669299,11.969863,4,0,07sep2019,0,2,0,0,.074693717,.89999998,.067224346,"29 mar, 2021",Resumen Gran Venta Selecta Haras Abolengo Y Haras Vacacion,https://www.turfdiario.com/resumen-gran-venta-selecta-haras-abolengo-y-haras-vacacion/,29mar2021,2021,32,Vacacion,1.5589041,20879.551,5745.3745,.010944128,.035714287,y-y-n,1.5156227
LOVELY FACE,IN THE DARK,LOVE AND ROSES,,114.74694,.07860589,.39101633,-.012771651,7.90137,1,1,08sep2019,0,1,0,0,.074457005,.83379304,.062081732,"29 mar, 2021",Resumen Gran Venta Selecta Haras Abolengo Y Haras Vacacion,https://www.turfdiario.com/resumen-gran-venta-selecta-haras-abolengo-y-haras-vacacion/,29mar2021,2021,52,Vacacion,1.5561644,27404.41,5930.1196,.010577664,.068965517,n-n-n,3.5663409
ARDORADA,IN THE DARK,APRILLA,118.6683,107.48151,-.019100785,.15594783,.06465663,15.169863,5,0,10sep2019,0,1,.0094339624,.014705882,.067756251,.78281039,.053040296,"18 jul, 2021",Venta Estrellas Haras Vacacion  Resumen,https://www.turfdiario.com/venta-estrellas-haras-vacacion-resumen/,18jul2021,2021,19,Vacacion,1.8547945,4499.2192,1703.5518,.10579574,.068965517,y-y-n,.95570207
KIND HORSE,ORPEN (USA),KHALESI QUEEN,,100.89799,.085231602,-.076360621,.04394713,5.1041098,0,0,12sep2019,0,2,.048536759,.024657534,.044688284,.77196825,.034497935,"29 mar, 2021",Resumen Gran Venta Selecta Haras Abolengo Y Haras Vacacion,https://www.turfdiario.com/resumen-gran-venta-selecta-haras-abolengo-y-haras-vacacion/,29mar2021,2021,35,Vacacion,1.5452055,43716.559,18751.848,.082598239,.10018237,n-n-n,
EBRIO DE AMOR,IN THE DARK,EIVISSA JET,111.73672,108.90639,-.051991761,.10587055,-.021003157,19.956165,7,0,05sep2019,1,2,0,0,.03821576,.87896562,.033590339,"29 mar, 2021",Resumen Gran Venta Selecta Haras Abolengo Y Haras Vacacion,https://www.turfdiario.com/resumen-gran-venta-selecta-haras-abolengo-y-haras-vacacion/,29mar2021,2021,40,Vacacion,1.5643835,22184.521,10087.341,.011199147,.035714287,y-y-n,1.3058043
GOLDEN BOX,SIR WINSALOT,GRAND GALLERY,77.12159,99.711655,.015062362,.1608682,-.0034577698,10.076713,4,0,02oct2019,0,1,0,0,.012587724,.54942763,.0069160433,"15 jun, 2021",Gran Venta Fallow Republica  Resumen,https://www.turfdiario.com/gran-venta-fallow-republica-resumen-2/,15jun2021,2021,29,El Gusy,1.7041095,3305.3804,4925.8091,-.17223871,.01369863,n-n-n,1.0270569
MUY DANDY,CATCHER IN THE RYE (IRE),LINDALINDALINDA,116.89789,118.22484,.2165404,.15935582,.022692338,11.035617,5,0,25sep2019,0,2,.026717557,.019662922,.07885778,.84815711,.066883788,"15 jun, 2021",Gran Venta Fallow Republica  Resumen,https://www.turfdiario.com/gran-venta-fallow-republica-resumen-2/,15jun2021,2021,26,El Gusy,1.7232877,9014.6738,3734.0176,.16860446,.066867776,y-y-n,1.4169106
ES LA MAXIMA,JOHN F KENNEDY (IRE),ESCRIBA MAXIMA,84.841057,91.548569,.11473674,-.076360621,.0098205134,7.161644,0,0,06oct2019,0,1,.009708738,.012987013,.018006667,.58073717,.010457141,"15 aug, 2021",Beta Linda El Precio Mas Alto En La Venta De Abolengo / Resumen,https://www.turfdiario.com/beta-linda-el-precio-mas-alto-en-la-venta-de-abolengo-resumen/,15aug2021,2021,26,,1.860274,3559.4893,3132.1758,.12790616,.047619049,n-n-n,
