lote,name,birth_year,haras,studbook_id,padrillo,M,birth_eday,sex,PR,PS,PRS,Remate,Start,End,Source,link,age,yegua
45,MASQUENADA (FR),2005.0,LA PASION,383791,MUHTATHIR (GB),MACARENA (GER),2005-05-03,Female,0.50177222,0.25422543,0.12756327,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,19,True
46,MASTER BOU,2017.0,LA PASION,399960,MASTERCRAFTSMAN (IRE),BOUCLETTE GLORY,2017-09-11,Female,0.64072305,0.27538371,0.17644469,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,7,True
47,MASTER SALE,2017.0,FIRMAMENTO,401066,MASTERCRAFTSMAN (IRE),OPIUM SALE,2017-10-07,Female,0.73859119,0.19616064,0.14488253,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,7,True
39,MELINDROSO,2023.0,SANTA MARIA DE ARARAS,447394,DANIEL BOONE (BRZ),MIAMI QUEEN,2023-10-27,Male,0.62442791,0.11684899,0.072963774,Haras SANTA MARIA DE ARARAS,10-04-2025,13-04-2025,argsales,https://arg-sales.com//remates/view/345,1,False
30,MI CHICO MATICO,2023.0,ABOLENGO,441691,PNEUMATIC (USA),MI CHICA BONITA,2023-07-11,Male,0.68352526,0.21173219,0.14472431,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
36,MILES AWAY,2023.0,VACACION,445016,FORTIFY (USA),MILLERA STRIPES,2023-08-26,Female,0.62982416,0.19383915,0.12208458,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
16,MINAMI,2023.0,LA LEYENDA,443504,GOUVERNEUR MORRIS (USA),MISS PENN,2023-08-25,Male,0.72986275,0.27282768,0.19912677,COPA BULLRICH ABRIL . 14h,10/04/2025,10/04/2025,bullrich,https://antoniobullrich.com//remates/copa-bullrich-abril-14h/lotes,1,False
23,MIRADA DISTANTE,2023.0,VACACION,443795,FORTIFY (USA),MELODIA PAMPA,2023-09-06,Male,0.66002756,0.17375416,0.11468253,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
48,MISTELA CROTTA,2012.0,LA PASION,324787,EASING ALONG (USA),MOSCADA FILLY,2012-08-23,Female,0.68772244,0.18315159,0.12595746,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,12,True
47,MOGUL,2023.0,ABOLENGO,443477,COSMIC TRIGGER,MOON LADY,2023-08-25,Male,0.61092144,0.1928909,0.11784118,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
27,MR. BOND,2023.0,SANTA INES,445454,UNCLE CHUCK (USA),MISS MONEYPENNY,2023-09-24,Male,0.59046066,0.12318874,0.072738104,COPA BULLRICH ABRIL . 14h,10/04/2025,10/04/2025,bullrich,https://antoniobullrich.com//remates/copa-bullrich-abril-14h/lotes,1,False
49,MUEQUITA NISTEL,2009.0,FIRMAMENTO,299319,VAN NISTELROOY (USA),MUEQUITA FITZ,2009-09-19,Female,0.58526397,0.32401288,0.18963306,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,15,True
50,NICARAGUA (USA),2006.0,LA PASION,286532,BERNSTEIN (USA),NORTH DREAM,2006-03-06,Female,0.50975692,0.30641133,0.1561953,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,19,True
46,NINETTE,2023.0,ABOLENGO,444282,PNEUMATIC (USA),NIFTY,2023-09-16,Female,0.54737723,0.17863378,0.097780064,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
13,NIÑO FELIZ,2023.0,EL CHANAR,443833,EQUAL STRIPES,BURG ANIÑADA,2023-09-11,Male,0.48410469,0.1610792,0.077979192,COPA BULLRICH ABRIL . 14h,10/04/2025,10/04/2025,bullrich,https://antoniobullrich.com//remates/copa-bullrich-abril-14h/lotes,1,False
36,NIÑO MATICO,2023.0,ABOLENGO,442946,PNEUMATIC (USA),STORMY NIÑA,2023-08-24,Male,0.64718884,0.1641347,0.10622615,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
5,NUNCA TAXI,2023.0,LA LEYENDA,445315,GOUVERNEUR MORRIS (USA),NINA BERNSTEIN,2023-10-16,Male,0.72210079,0.32113639,0.23189284,COPA BULLRICH ABRIL . 14h,10/04/2025,10/04/2025,bullrich,https://antoniobullrich.com//remates/copa-bullrich-abril-14h/lotes,1,False
2,O MAIS GRANDE,2021.0,FIRMAMENTO,429731,REMOTE (GB),BIJOU EMPER,2021-10-12,Male,0.73163861,0.22076158,0.16151769,VENTA TRAINING - HARAS FIRMAMENTO . 18h,31/03/2025,31/03/2025,bullrich,https://antoniobullrich.com//remates/venta-training-haras-firmamento-18h/lotes,3,False
25,OFUSCADOR,2023.0,SANTA MARIA DE ARARAS,445900,DANIEL BOONE (BRZ),ORDEM UNIDA,2023-09-29,Male,0.71074688,0.18283145,0.12994689,Haras SANTA MARIA DE ARARAS,10-04-2025,13-04-2025,argsales,https://arg-sales.com//remates/view/345,1,False
5,OLIMPIC RIM,2021.0,FIRMAMENTO,430902,REMOTE (GB),OLIMPICA CATCH,2021-11-04,Male,0.7444098,0.1718365,0.12791677,VENTA TRAINING - HARAS FIRMAMENTO . 18h,31/03/2025,31/03/2025,bullrich,https://antoniobullrich.com//remates/venta-training-haras-firmamento-18h/lotes,3,False
51,ONDA CHIC,2011.0,LA PASION,315849,EASING ALONG (USA),ONDINA,2011-08-11,Female,0.72224385,0.39322156,0.28400186,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,13,True
24,ORIGINAL BOY,2023.0,SANTA MARIA DE ARARAS,444247,DANIEL BOONE (BRZ),ORIGINALIDAD,2023-09-19,Male,0.72935963,0.17064112,0.12445875,Haras SANTA MARIA DE ARARAS,10-04-2025,13-04-2025,argsales,https://arg-sales.com//remates/view/345,1,False
48,ORTODOXA,2023.0,EL MALLIN,444081,SOVEREIGN (IRE),SANTISIMA,2023-07-22,Female,0.71727568,0.17553635,0.12590796,COPA BULLRICH ABRIL . 14h,10/04/2025,10/04/2025,bullrich,https://antoniobullrich.com//remates/copa-bullrich-abril-14h/lotes,1,False
20,OSTENTOSO,2023.0,SANTA MARIA DE ARARAS,441765,DANIEL BOONE (BRZ),ORANGE AND GREEN,2023-07-21,Male,0.66393191,0.17535041,0.11642073,Haras SANTA MARIA DE ARARAS,10-04-2025,13-04-2025,argsales,https://arg-sales.com//remates/view/345,1,False
24,OTIS BLUE,2023.0,SANTA INES,445460,UNCLE CHUCK (USA),ORPEN MOON,2023-09-29,Male,0.65342045,0.12232418,0.079929121,COPA BULLRICH ABRIL . 14h,10/04/2025,10/04/2025,bullrich,https://antoniobullrich.com//remates/copa-bullrich-abril-14h/lotes,1,False
25,PALABRA SANTA,2023.0,VACACION,447204,FULL MAST (USA),PRICE TAG,2023-10-27,Female,0.57854652,0.17887019,0.10348473,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
23,PALCO DE HONOR,2023.0,EL CHANAR,442215,DADDY LONG LEGS (USA),PALMA DE ORO,2023-08-03,Male,0.68348652,0.10489533,0.071694545,COPA BULLRICH ABRIL . 14h,10/04/2025,10/04/2025,bullrich,https://antoniobullrich.com//remates/copa-bullrich-abril-14h/lotes,1,False
5,PAMPLONNE,2023.0,VACACION,443791,FORTIFY (USA),PLAGE,2023-09-04,Female,0.59258384,0.26799053,0.15880686,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
34,PAULEY,2023.0,ABOLENGO,441688,DADDY LONG LEGS (USA),PAULETTE,2023-07-09,Male,0.63342696,0.16310374,0.10331431,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
51,PAULO SIL,2023.0,ABOLENGO,442626,TREASURE BEACH (GB),PAULINE'S,2023-08-13,Male,0.63074332,0.12893473,0.081324719,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
52,PERISTALTICA,2006.0,LA PASION,270635,INTERPRETE,PEDIFORM (USA),2006-07-18,Female,0.7465713,0.26025084,0.19429581,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,18,True
53,PERUGIA EMPER,2011.0,FIRMAMENTO,316762,EMPEROR JONES (USA),PERUGIA,2011-09-01,Female,0.60328692,0.24425671,0.14735688,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,13,True
20,PINTON,2023.0,EL CHANAR,445503,PNEUMATIC (USA),PIBA COMO VOS,2023-10-02,Male,0.65370578,0.10705747,0.069984086,COPA BULLRICH ABRIL . 14h,10/04/2025,10/04/2025,bullrich,https://antoniobullrich.com//remates/copa-bullrich-abril-14h/lotes,1,False
12,POKER STAR,2023.0,ABOLENGO,443481,COSMIC TRIGGER,POKER LADY,2023-08-26,Female,0.48184189,0.21585403,0.10400751,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
54,POLACCA,2016.0,LA PASION,361557,EASING ALONG (USA),PALPITACION,2016-09-27,Female,0.7000019,0.17379957,0.12166003,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,8,True
55,PORRERA,2021.0,LA PASION,427546,EQUAL STRIPES,FORTEZZA,2021-08-25,Female,0.56411874,0.13201003,0.074469328,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,3,False
56,POTRI JAZZ (USA),2006.0,LA PASION,286520,SMART STRIKE (CAN),JAZZ TRADITION (USA),2006-04-13,Female,0.50011456,0.31309223,0.15658198,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,18,True
27,PUEBLO MIO,2023.0,ABOLENGO,443491,EQUAL STRIPES,PALI AIKE,2023-08-30,Male,0.46310052,0.10379454,0.048067305,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
15,PUNCH BOY,2023.0,SANTA MARIA DE ARARAS,444245,DANIEL BOONE (BRZ),PERSONAL DOT,2023-09-19,Male,0.61819589,0.23275681,0.14388931,Haras SANTA MARIA DE ARARAS,10-04-2025,13-04-2025,argsales,https://arg-sales.com//remates/view/345,1,False
54,PUNTERA SIEMPRE,2023.0,ABOLENGO,442287,EQUAL STRIPES,PUNTERA RYE,2023-07-29,Female,0.42483386,0.13038036,0.055389993,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
57,PUSSYCAT DOLL,2008.0,LA PASION,287230,MUTAKDDIM (USA),THECATINTHESPAT (USA),2008-07-02,Female,0.76514333,0.33410707,0.25563979,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,16,True
10,QUALICK,2023.0,SANTA MARIA DE ARARAS,445910,DANIEL BOONE (BRZ),QUEEN KELLY,2023-10-06,Male,0.65993237,0.18028145,0.11897356,Haras SANTA MARIA DE ARARAS,10-04-2025,13-04-2025,argsales,https://arg-sales.com//remates/view/345,1,False
5,QUANDO QUERO,2023.0,SANTA MARIA DE ARARAS,447383,DANIEL BOONE (BRZ),QUINDICI (USA),2023-10-18,Male,0.63170642,0.25162593,0.15895371,Haras SANTA MARIA DE ARARAS,10-04-2025,13-04-2025,argsales,https://arg-sales.com//remates/view/345,1,False
41,QUARTERBACK,2023.0,SANTA MARIA DE ARARAS,443369,HIT IT A BOMB (USA),QUATRO FOLHAS,2023-08-19,Male,0.76177913,0.20761293,0.1581552,Haras SANTA MARIA DE ARARAS,10-04-2025,13-04-2025,argsales,https://arg-sales.com//remates/view/345,1,False
11,QUARTZ MAN,2023.0,SANTA MARIA DE ARARAS,445906,DANIEL BOONE (BRZ),QUEEN PLUM,2023-10-03,Male,0.68047726,0.17499766,0.11908193,Haras SANTA MARIA DE ARARAS,10-04-2025,13-04-2025,argsales,https://arg-sales.com//remates/view/345,1,False
1,QUE FORTE,2023.0,SANTA MARIA DE ARARAS,441769,FORTIFY (USA),QUE BELLA NOCHE,2023-07-25,Male,0.65548831,0.28460369,0.18655439,Haras SANTA MARIA DE ARARAS,10-04-2025,13-04-2025,argsales,https://arg-sales.com//remates/view/345,1,False
26,QUE TANGACHO,2023.0,SANTA MARIA DE ARARAS,445901,DANIEL BOONE (BRZ),QUE SEJA DOCE,2023-09-30,Male,0.57031506,0.11051363,0.063027591,Haras SANTA MARIA DE ARARAS,10-04-2025,13-04-2025,argsales,https://arg-sales.com//remates/view/345,1,False
58,QUEEN SLAM,2007.0,FIRMAMENTO,280959,GRAND SLAM (USA),QUEEN WONDER,2007-09-04,Female,0.68681657,0.26921523,0.18490148,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,17,True
8,QUEEN'S BANQUET,2023.0,SANTA MARIA DE ARARAS,442758,DANIEL BOONE (BRZ),QUEEN DALILLA,2023-07-28,Female,0.64640284,0.2231818,0.14426535,Haras SANTA MARIA DE ARARAS,10-04-2025,13-04-2025,argsales,https://arg-sales.com//remates/view/345,1,False
17,QUEMOSIS,2023.0,SANTA MARIA DE ARARAS,444237,DANIEL BOONE (BRZ),QUICK SHE GO,2023-09-08,Female,0.50168371,0.12126309,0.060835715,Haras SANTA MARIA DE ARARAS,10-04-2025,13-04-2025,argsales,https://arg-sales.com//remates/view/345,1,False
29,QUICK SMILE,2023.0,VACACION,442102,FORTIFY (USA),QUISCA,2023-08-04,Female,0.63661736,0.20182835,0.12848742,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
10,RACE TRACK,2023.0,VACACION,447207,FORTIFY (USA),ROMAN LIBERTAS,2023-11-01,Male,0.66644651,0.27274945,0.18177292,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
59,RAINERA,2019.0,LA PASION,418312,BODEMEISTER (USA),RADICAL LADY,2019-10-28,Female,0.66059554,0.14824156,0.097927719,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,5,True
60,RAVISHING LOVE,2011.0,LA PASION,316795,LIZARD ISLAND (USA),RAHY'S DARLIN (USA),2011-09-18,Female,0.79759121,0.20120263,0.16047744,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,13,True
17,REGU,2023.0,ABOLENGO,442935,PNEUMATIC (USA),REFINED WITH GLORY,2023-08-19,Male,0.60169375,0.20805129,0.12518317,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
37,REINA MATIC,2023.0,EL ARROYO,444033,PNEUMATIC (USA),JOY REA,2023-09-11,Female,0.4994716,0.069588803,0.034757633,COPA BULLRICH ABRIL . 14h,10/04/2025,10/04/2025,bullrich,https://antoniobullrich.com//remates/copa-bullrich-abril-14h/lotes,1,False
3,REMEMBER HIT,2021.0,FIRMAMENTO,427563,HIT IT A BOMB (USA),HALO HOLIDAY,2021-08-20,Male,0.83392078,0.30791554,0.25677717,VENTA TRAINING - HARAS FIRMAMENTO . 18h,31/03/2025,31/03/2025,bullrich,https://antoniobullrich.com//remates/venta-training-haras-firmamento-18h/lotes,3,False
38,RIKI,2023.0,LA LEYENDA,445351,STORM EMBRUJADO,RED HOTSCAT'N (USA),2023-10-13,Female,0.52609694,0.15668309,0.082430489,COPA BULLRICH ABRIL . 14h,10/04/2025,10/04/2025,bullrich,https://antoniobullrich.com//remates/copa-bullrich-abril-14h/lotes,1,False
7,ROSICA,2023.0,ABOLENGO,445437,FORTIFY (USA),THE ROSY,2023-10-11,Female,0.56800163,0.30877116,0.17538252,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
61,RUDD,2019.0,LA PASION,414055,LIZARD ISLAND (USA),RESTRAIN (USA),2019-08-15,Female,0.78704005,0.25203606,0.19836248,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,5,True
35,SABER DECIR,2023.0,VACACION,444423,CITYSCAPE (GB),SKYMPY,2023-09-20,Female,0.57329917,0.21679997,0.12429125,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
46,SAKURA TREE,2023.0,SANTA MARIA DE ARARAS,447375,DANIEL BOONE (BRZ),SAY SARAH,2023-10-13,Female,0.59141606,0.15533105,0.091865271,Haras SANTA MARIA DE ARARAS,10-04-2025,13-04-2025,argsales,https://arg-sales.com//remates/view/345,1,False
47,SAKURA'S MOON,2023.0,SANTA MARIA DE ARARAS,445890,JAPAN (USA),SAVANNAH'S MOON,2023-09-26,Female,0.48273304,0.17454126,0.084256835,Haras SANTA MARIA DE ARARAS,10-04-2025,13-04-2025,argsales,https://arg-sales.com//remates/view/345,1,False
9,SALVATTISTA,2023.0,SANTA MARIA DE ARARAS,441763,DANIEL BOONE (BRZ),SALVA DI APPLAUSI,2023-07-18,Male,0.64794183,0.1596165,0.10342221,Haras SANTA MARIA DE ARARAS,10-04-2025,13-04-2025,argsales,https://arg-sales.com//remates/view/345,1,False
13,SAM BUSHIDO,2023.0,ABOLENGO,445128,PNEUMATIC (USA),SAMBULLIDA,2023-09-30,Male,0.61786956,0.14152509,0.087444045,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
37,SAMMI BOMB,2023.0,SANTA MARIA DE ARARAS,443372,HIT IT A BOMB (USA),SANTA SABINA,2023-08-04,Female,0.5253408,0.14913759,0.078348055,Haras SANTA MARIA DE ARARAS,10-04-2025,13-04-2025,argsales,https://arg-sales.com//remates/view/345,1,False
10,SARRACENO,2023.0,ABOLENGO,441695,DADDY LONG LEGS (USA),SERINE,2023-07-14,Male,0.69865584,0.27036756,0.18889388,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
4,SAYUMI,2023.0,ABOLENGO,442934,PNEUMATIC (USA),SA TALAIA,2023-08-19,Female,0.60786015,0.2589291,0.15739268,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
62,SCOOTALOO,2018.0,LA PASION,410421,CATCHER IN THE RYE (IRE),STORMY NINGUNA,2018-10-25,Female,0.65228623,0.095433027,0.062249649,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,6,True
8,SERBIO,2023.0,EL MALLIN,444084,SOVEREIGN (IRE),MISS SEITER,2023-07-30,Male,0.76610821,0.29573393,0.2265642,COPA BULLRICH ABRIL . 14h,10/04/2025,10/04/2025,bullrich,https://antoniobullrich.com//remates/copa-bullrich-abril-14h/lotes,1,False
45,SEVEN STARS,2023.0,SANTA MARIA DE ARARAS,442760,HIT IT A BOMB (USA),SAFONA,2023-08-03,Female,0.64424735,0.22848138,0.14719853,Haras SANTA MARIA DE ARARAS,10-04-2025,13-04-2025,argsales,https://arg-sales.com//remates/view/345,1,False
14,SHANI,2023.0,SANTA INES,445031,GOUVERNEUR MORRIS (USA),SHERAH,2023-09-16,Female,0.55010146,0.082878791,0.045591746,COPA BULLRICH ABRIL . 14h,10/04/2025,10/04/2025,bullrich,https://antoniobullrich.com//remates/copa-bullrich-abril-14h/lotes,1,False
63,SHY SIMONA,2018.0,LA PASION,406767,HURRICANE CAT (USA),SHY CANDELA,2018-08-13,Female,0.72494388,0.22368112,0.16215625,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,6,True
22,SHYGALA,2023.0,VACACION,441742,FORTIFY (USA),SKY WITH STARS,2023-07-07,Female,0.6328131,0.22830589,0.14447495,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
41,SIEMPRE CONTENTA,2023.0,VACACION,442672,HI HAPPY,SIEMPRE SONRIENTE,2023-08-14,Female,0.63352448,0.20043238,0.12697881,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
43,SIEMPRE EN VENTA,2023.0,EL MALLIN,448234,SOVEREIGN (IRE),MARIAISNOTFORSALE,2023-09-22,Male,0.59658152,0.084879681,0.050637648,COPA BULLRICH ABRIL . 14h,10/04/2025,10/04/2025,bullrich,https://antoniobullrich.com//remates/copa-bullrich-abril-14h/lotes,1,False
49,SIMPLE DESEO,2023.0,VACACION,441815,UNCLE CHUCK (USA),SIGGY,2023-07-27,Male,0.70158112,0.14638694,0.10270231,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
18,SIN LIMITES,2023.0,ABOLENGO,441692,TREASURE BEACH (GB),SIN FRONTERAS,2023-07-12,Male,0.60734171,0.13938557,0.084654666,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
24,SIN TU AMOR,2023.0,VACACION,443813,FORTIFY (USA),STORMY VAGUENESS,2023-08-27,Male,0.69235492,0.28999156,0.20077708,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
12,SIR LUIGI,2023.0,SANTA MARIA DE ARARAS,443371,DANIEL BOONE (BRZ),SERENITY QUEEN,2023-08-27,Male,0.76571053,0.1475022,0.11294398,Haras SANTA MARIA DE ARARAS,10-04-2025,13-04-2025,argsales,https://arg-sales.com//remates/view/345,1,False
35,SLAVO,2023.0,EL ARROYO,441637,SEÑOR CANDY (USA),SLOVENCA,2023-07-20,Male,0.58494705,0.05574372,0.032607123,COPA BULLRICH ABRIL . 14h,10/04/2025,10/04/2025,bullrich,https://antoniobullrich.com//remates/copa-bullrich-abril-14h/lotes,1,False
13,SOBERANO BOONE,2023.0,SANTA MARIA DE ARARAS,447382,DANIEL BOONE (BRZ),SALZBURG QUEEN,2023-10-17,Male,0.67550868,0.13464835,0.090956129,Haras SANTA MARIA DE ARARAS,10-04-2025,13-04-2025,argsales,https://arg-sales.com//remates/view/345,1,False
30,SOBERBIA NOCHE,2023.0,EL MALLIN,447007,SOVEREIGN (IRE),RED KNIGHT,2023-08-15,Female,0.51179361,0.14458939,0.073999926,COPA BULLRICH ABRIL . 14h,10/04/2025,10/04/2025,bullrich,https://antoniobullrich.com//remates/copa-bullrich-abril-14h/lotes,1,False
37,SOY ROMANTICO,2023.0,VACACION,444422,FORTIFY (USA),SERENATA ROMANTICA,2023-09-19,Male,0.63524479,0.14658575,0.093117833,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
47,SPRING CHARM,2023.0,VACACION,441811,CITYSCAPE (GB),SPRING CLUB,2023-07-25,Female,0.53227496,0.21176286,0.11271607,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
64,STARRY MISS,2009.0,FIRMAMENTO,300237,SOUTHERN HALO (USA),STAR BROWN,2009-09-17,Female,0.66740775,0.42423636,0.28313863,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,15,True
7,STAY TUNE,2023.0,VACACION,445616,FORTIFY (USA),STAY IN THE GLORY,2023-09-22,Male,0.68920207,0.21069415,0.14521085,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
60,STOP THINKING,2023.0,ABOLENGO,442283,TREASURE BEACH (GB),STALKER GIRL,2023-07-24,Male,0.59032792,0.11346968,0.066984318,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
41,STORMY BOY,2023.0,ABOLENGO,443489,PNEUMATIC (USA),STORMY CONVICTA,2023-08-30,Male,0.63162881,0.19272994,0.12173378,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
54,STORMY UNCLE,2023.0,VACACION,441812,UNCLE CHUCK (USA),STORMY CHISTOSA,2023-07-26,Male,0.69692898,0.19437379,0.13546473,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
34,STORMY WEATHER,2023.0,VACACION,441778,UNCLE CHUCK (USA),STORMY LUNAR,2023-07-18,Male,0.71696681,0.23367961,0.16754052,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
45,SUMMER SEASON,2023.0,VACACION,444427,CITYSCAPE (GB),SOPHISTIQUE,2023-09-21,Male,0.63339901,0.20589314,0.13041252,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
27,SUSQUEÑA,2023.0,SANTA MARIA DE ARARAS,441761,DANIEL BOONE (BRZ),SUBLIMACION,2023-07-15,Female,0.52424985,0.31733087,0.16636066,Haras SANTA MARIA DE ARARAS,10-04-2025,13-04-2025,argsales,https://arg-sales.com//remates/view/345,1,False
11,SYNDRA,2023.0,VACACION,443790,FORTIFY (USA),SAUDI GIRL,2023-09-03,Female,0.63794118,0.27322483,0.17430137,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
