lote,name,birth_year,haras,studbook_id,padrillo,M,birth_eday,sex,PR,PS,PRS,Remate,Start,End,Source,link,age,yegua
40,FESTIVE LADY,2023.0,SANTA MARIA DE ARARAS,445892,DANIEL BOONE (BRZ),FELICIDAD ALWAYS,2023-09-26,Female,0.55867589,0.11690261,0.065310672,Haras SANTA MARIA DE ARARAS,10-04-2025,13-04-2025,argsales,https://arg-sales.com//remates/view/345,1,False
52,FIND ME,2023.0,ABOLENGO,443924,PNEUMATIC (USA),FIX IT,2023-09-13,Male,0.64173687,0.15901364,0.10204492,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
44,FIRST QUEEN,2023.0,SANTA MARIA DE ARARAS,441762,VILLAGE KING,FELURIAN,2023-07-16,Female,0.40412605,0.15351728,0.062040329,Haras SANTA MARIA DE ARARAS,10-04-2025,13-04-2025,argsales,https://arg-sales.com//remates/view/345,1,False
19,FOGUEADO,2023.0,EL MALLIN,441733,SOVEREIGN (IRE),CURTIDA NISTEL,2023-08-02,Male,0.61571354,0.097244278,0.059874617,COPA BULLRICH ABRIL . 14h,10/04/2025,10/04/2025,bullrich,https://antoniobullrich.com//remates/copa-bullrich-abril-14h/lotes,1,False
28,FOLLONICA,2013.0,LA PASION,335547,ZENSATIONAL (USA),FOTOGRAFICA,2013-09-11,Female,0.73335332,0.27814108,0.20397568,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,11,True
34,FUERTE Y CLARO,2023.0,SANTA MARIA DE ARARAS,445902,DANIEL BOONE (BRZ),FUNK GIRL,2023-09-30,Male,0.68985599,0.12170354,0.083957911,Haras SANTA MARIA DE ARARAS,10-04-2025,13-04-2025,argsales,https://arg-sales.com//remates/view/345,1,False
16,FULL MOON,2023.0,ABOLENGO,442619,COSMIC TRIGGER,THUNDERY FALLEN,2023-08-13,Female,0.31486198,0.1013463,0.031910095,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
7,FUTURE MIND,2023.0,SANTA MARIA DE ARARAS,443686,DANIEL BOONE (BRZ),FUZARCA,2023-09-10,Male,0.70853794,0.19700493,0.13958547,Haras SANTA MARIA DE ARARAS,10-04-2025,13-04-2025,argsales,https://arg-sales.com//remates/view/345,1,False
21,FUZZY PET,2023.0,SANTA MARIA DE ARARAS,445891,DANIEL BOONE (BRZ),FUZZY LOGIC,2023-09-26,Female,0.59937251,0.19524714,0.11702577,Haras SANTA MARIA DE ARARAS,10-04-2025,13-04-2025,argsales,https://arg-sales.com//remates/view/345,1,False
42,GALINDEZ,2023.0,ABOLENGO,442065,COSMIC TRIGGER,GALA ACTION,2023-07-23,Male,0.51054192,0.095669709,0.048843395,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
26,GENUINE FAITH,2023.0,ABOLENGO,442073,PNEUMATIC (USA),GOT FAITH,2023-07-18,Female,0.60416663,0.20909789,0.12632997,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
50,GOOD HOPE,2023.0,ABOLENGO,445433,DADDY LONG LEGS (USA),GOOD BABE,2023-10-08,Female,0.55016768,0.21801521,0.11994492,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
26,GOODNIGHT BABY,2023.0,EL CHANAR,442042,DADDY LONG LEGS (USA),GOODNIGHT KISS,2023-08-07,Female,0.45034614,0.077067368,0.034706991,COPA BULLRICH ABRIL . 14h,10/04/2025,10/04/2025,bullrich,https://antoniobullrich.com//remates/copa-bullrich-abril-14h/lotes,1,False
49,GOOGLE NEWS,2023.0,ABOLENGO,442622,PNEUMATIC (USA),GIRL SPIRIT,2023-08-14,Female,0.62126756,0.16227539,0.10081644,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
43,GOT MY WAY,2023.0,ABOLENGO,443916,EQUAL STRIPES,GOT MY MIND,2023-09-08,Male,0.45536256,0.11118729,0.050630532,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
40,GREAT UNCLE,2023.0,VACACION,441598,UNCLE CHUCK (USA),GARUBELLA (USA),2023-07-06,Male,0.53026098,0.13151808,0.06973891,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
29,GREEICY,2020.0,LA PASION,422381,BODEMEISTER (USA),GREY'S ANATOMY,2020-10-18,Female,0.72206241,0.10334569,0.074622042,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,4,False
6,GREKA,2023.0,ABOLENGO,446087,DADDY LONG LEGS (USA),GREEN RYE,2023-10-19,Female,0.56078815,0.2484338,0.13931873,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
12,HAMLET STAR,2023.0,VACACION,441744,FORTIFY (USA),HENDAIA,2023-07-11,Male,0.65666431,0.31871578,0.20928928,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
14,HAPPY FAMILY,2023.0,VACACION,446563,FORTIFY (USA),HEAVENLY STAR,2023-10-21,Female,0.57371038,0.2380057,0.13654634,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
17,HAPPY FRANKIE,2023.0,EL CHANAR,444981,TREASURE BEACH (GB),HAPPY GIRL,2023-10-15,Male,0.59149373,0.066962101,0.039607663,COPA BULLRICH ABRIL . 14h,10/04/2025,10/04/2025,bullrich,https://antoniobullrich.com//remates/copa-bullrich-abril-14h/lotes,1,False
30,HARLAN'S ANGELIC,2011.0,FIRMAMENTO,315167,HARLAN'S HOLIDAY (USA),KWANZAN (USA),2011-08-03,Female,0.53661597,0.17382765,0.093278691,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,13,True
43,HARRY EL SUCIO,2023.0,SANTA MARIA DE ARARAS,444241,DANIEL BOONE (BRZ),HORA UNIVERSAL,2023-09-15,Male,0.65206367,0.15696822,0.10235327,Haras SANTA MARIA DE ARARAS,10-04-2025,13-04-2025,argsales,https://arg-sales.com//remates/view/345,1,False
31,HIDILYN,2021.0,LA PASION,426841,EQUAL STRIPES,HEART TO HEART,2021-07-22,Female,0.64331555,0.12735744,0.081931017,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,3,False
32,HIGHFEVER BOMB,2020.0,FIRMAMENTO,421821,HIT IT A BOMB (USA),HIGHFEVER,2020-10-28,Female,0.64187098,0.14284945,0.091690913,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,4,False
33,HIT BOUCLETTE,2018.0,FIRMAMENTO,405918,HIT IT A BOMB (USA),BOUCLETTE FITZ,2018-07-12,Female,0.73968846,0.3086693,0.22831912,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,6,True
12,HIT GALILEO,2021.0,FIRMAMENTO,426853,HIT IT A BOMB (USA),FILILEO (IRE),2021-07-20,Male,0.6297543,0.19887495,0.12524235,VENTA TRAINING - HARAS FIRMAMENTO . 18h,31/03/2025,31/03/2025,bullrich,https://antoniobullrich.com//remates/venta-training-haras-firmamento-18h/lotes,3,False
3,HURRY AND HURRY,2023.0,SANTA MARIA DE ARARAS,447384,DANIEL BOONE (BRZ),HONEY HAPPY,2023-10-18,Male,0.67567527,0.24883647,0.16813265,Haras SANTA MARIA DE ARARAS,10-04-2025,13-04-2025,argsales,https://arg-sales.com//remates/view/345,1,False
10,ICONO HIT,2021.0,FIRMAMENTO,427557,HIT IT A BOMB (USA),CUIDADOSA HALO,2021-08-19,Female,0.76524216,0.29697016,0.22725409,VENTA TRAINING - HARAS FIRMAMENTO . 18h,31/03/2025,31/03/2025,bullrich,https://antoniobullrich.com//remates/venta-training-haras-firmamento-18h/lotes,3,False
44,IKAL,2023.0,ABOLENGO,442937,PNEUMATIC (USA),ITALIAN STRIPE,2023-08-21,Female,0.58789402,0.18934177,0.1113129,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
61,ILUSTRADOR,2023.0,ABOLENGO,442071,COSMIC TRIGGER,ILUSTRADORA,2023-07-21,Male,0.55959684,0.10756447,0.060192738,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
34,IMAGINAME LINDA,2011.0,LA PASION,314217,EASING ALONG (USA),RUBIA PRETTY,2011-07-24,Female,0.76753676,0.32119066,0.24652563,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,13,True
31,IMPORTE EXACTO,2023.0,ABOLENGO,442932,COSMIC TRIGGER,IMPORTANT THING,2023-08-18,Male,0.55044454,0.14396955,0.079247251,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
1,IN THIS MOMENT,2023.0,VACACION,443457,FORTIFY (USA),IN MISSION,2023-08-20,Male,0.7152831,0.33081269,0.23662473,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
15,INFINITA ILUSION,2023.0,ABOLENGO,445115,DADDY LONG LEGS (USA),INFANTA ELENA,2023-10-07,Female,0.48709127,0.30753437,0.14979731,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
1,INNER CIRCLE,2023.0,ABOLENGO,442067,PNEUMATIC (USA),INTENSE LOOK,2023-07-22,Female,0.64551955,0.28817633,0.18602346,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
