name,padrillo,yegua,genre,criador,auctionOrder,year,value,valueUSDB,p1,p2,p1_p2,eday,birth_eday
SHAMBUR,IL CAMPIONE (CHI),SIFRA,Macho,Santa Ines,15,2023,47000,22631.342,0.79939616,0.14094795,0.11267325,2023-05-03,2021-07-25
EMPRESTADO,CATCHER IN THE RYE (IRE),EMPRESS STYLE,Macho,Vacacion,36,2020,30000,22589.383,0.70688653,0.096548505,0.06824884,2020-03-15,2018-08-26
LADY VAGA,FORTIFY (USA),STORMY VAGRANT,Hembra,Vacacion,22,2020,30000,22589.383,0.7252131,0.10599728,0.07687062,2020-03-15,2018-07-16
LEGITIMA LUNA,EQUAL STRIPES,LUNA COSCOINA,Hembra,Abolengo,14,2019,23000,22574.967,0.4749284,0.053838346,0.02556936,2019-07-03,2017-09-22
ELEVADA FINAL,IL CAMPIONE (CHI),IMPRINTED,Hembra,Las Retamas,35,2023,44000,22564.666,0.77816194,0.08311365,0.064675875,2023-06-23,2021-09-05
ROCAMADOR,REMOTE (GB),ROMAN MASK,Macho,Vacacion,47,2019,23000,22538.477,0.7356197,0.06688756,0.049203806,2019-04-30,2017-07-26
PEARL OF JAPAN,JAPAN (USA),PERFORMANCE BEST,Hembra,Santa Maria De Araras,44,2022,38900,22513.5,0.5332198,0.05392487,0.02875381,2022-04-11,2020-10-13
JALIMBA,SEÑOR CANDY (USA),ABONANZA,Hembra,Rodeo Chico,19,2022,40500,22495.672,0.47873133,0.048314124,0.023129486,2022-03-30,2020-09-13
KINIGHOS,CATCHER IN THE RYE (IRE),KEY OF LUCK,Macho,Santa Ines,9,2019,23000,22495.201,0.77710795,0.07350621,0.057122264,2019-05-15,2017-08-01
LA MOME,HURRICANE CAT (USA),LA PIAFF,Hembra,El Mallin,8,2019,23000,22495.201,0.7095882,0.066464126,0.04716216,2019-05-15,2017-10-15
CAFE MADRID,COSMIC TRIGGER,NOCHE DE VEDA,Macho,Juan Antonio,25,2024,25000,22487.309,0.5801788,0.025429277,0.014753527,2024-04-09,2022-09-16
ELEGILO A EL,IL CAMPIONE (CHI),HELLO ANGIE,Macho,Tres Jotas,2,2024,30000,22481.328,0.8568139,0.085482225,0.07324236,2024-05-26,2022-07-05
LA PORTUARIA,DADDY LONG LEGS (USA),SURFINDY,Hembra,Los Turfistas,8,2024,30000,22481.328,0.60321087,0.043703727,0.026362563,2024-05-26,2022-08-03
