name,padrillo,yegua,genre,criador,auctionOrder,year,value,valueUSDB,p1,p2,p1_p2,eday,birth_eday
EPINICIA,EASING ALONG (USA),EXPRESS TIME,Hembra,Avourneen,6,2019,5600000,129779.836,0.8335924,0.026597831,0.02217175,2019-03-31,2017-08-18
FORZA NATURAL,COSMIC TRIGGER,FANCY LEGS,Hembra,Abolengo,10,2023,197000,103448.04,0.6149743,0.025886979,0.015919827,2023-03-28,2021-07-15
NOS MIRAMOS FIJO,TREASURE BEACH (GB),FORMALIZADITA,Hembra,Juan Antonio,5,2023,210000,99768.99,0.6393694,0.02694682,0.017228972,2023-05-16,2021-09-30
VALE FORTY,FORTIFY (USA),VALERY FULL,Hembra,La Madrina,13,2023,183000,98710.48,0.3320433,0.025223045,0.008375143,2023-04-04,2021-10-10
EL GRAN CAMPIONE,IL CAMPIONE (CHI),CALLING YOU,Macho,El Paraiso,2,2021,155000,96251.89,0.74391186,0.101206325,0.07528859,2021-04-24,2019-10-21
JOY ROSITA,FORTIFY (USA),THE ROSY,Hembra,Vacacion,2,2020,125000,94122.43,0.65992254,0.15112732,0.099732324,2020-03-15,2018-07-20
GOODNIGHT KISS,UNCLE MO (USA),STORMY KISS,Hembra,El Chanar,11,2019,95000,92914.96,0.6413423,0.055257473,0.035438955,2019-05-15,2017-10-05
BIEN BOHEMIO,COSMIC TRIGGER,ISMELDA,Macho,Juan Antonio,1,2024,100000,89949.234,0.56486356,0.06267634,0.03540358,2024-04-09,2022-08-13
SPEEDMASTER,FORTIFY (USA),STAY IN THE GLORY,Macho,Vacacion,7,2024,105000,89948.27,0.756345,0.12792908,0.096758515,2024-03-21,2022-09-15
JOLLY BOY,DADDY LONG LEGS (USA),JOLLY SONG,Macho,El Chanar,4,2023,164000,88696.266,0.76807916,0.06347913,0.048756998,2023-04-11,2021-08-27
QUINTIN STRIPES,EQUAL STRIPES,QUENDOM,Macho,Santa Ines,1,2019,90000,88024.695,0.5374772,0.06405214,0.034426566,2019-05-15,2017-08-27
AMERICAN PSYCHO,BODEMEISTER (USA),AMERICAN WHISPER (USA),Macho,La Pasion,26,2022,152000,87995.164,0.8292088,0.0779813,0.06466278,2022-04-29,2020-10-30
SACHI,COSMIC TRIGGER,SA TALAIA,Hembra,Abolengo,6,2024,100000,85615.766,0.6423718,0.12261554,0.07876476,2024-03-20,2022-08-08
EL MADRUGADOR,IL CAMPIONE (CHI),AWAKENING,Macho,El Paraiso,12,2024,100000,85480.766,0.77763444,0.12024132,0.093503796,2024-04-28,2022-07-18
INCONMENSURABLE,COSMIC TRIGGER,MINT BROWNIE (USA),Hembra,Juan Antonio,28,2023,190000,84965.3,0.46263057,0.0320006,0.014804456,2023-04-25,2021-08-02
PUERTO BANUS,FORTIFY (USA),PAPERLATE,Macho,Vacacion,15,2024,99000,84808.375,0.7126997,0.08254301,0.058828376,2024-03-21,2022-07-15
EL OJO DEL HURACAN,IL CAMPIONE (CHI),INTERDRUIDA,Macho,El Paraiso,22,2023,170000,83684.57,0.786118,0.13075326,0.10278749,2023-04-23,2021-10-17
ANGELIC CHAMP,CIMA DE TRIOMPHE (IRE),ANGELIC AIR (GB),Hembra,La Leyenda,8,2023,150000,81124.63,0.5752667,0.056643363,0.032585043,2023-04-11,2021-09-08
NIGH ORO,ORPEN (USA),STORMY NINGUNA,Hembra,La Biznaga,58,2018,2400000,80402.01,0.6744784,0.06607621,0.044566978,2018-08-17,2016-10-18
BAMBA DE ARECO,FORTIFY (USA),BAMBA LINDA,Hembra,Abolengo,2,2022,135000,78962.37,0.6127639,0.08777956,0.053788144,2022-05-22,2020-08-11
THE GOAT,FORTIFY (USA),QUE PIENSA CAT,Macho,Vacacion,17,2023,150000,78767.55,0.7955645,0.17965057,0.14292361,2023-03-28,2021-07-07
COOL GUY,COSMIC TRIGGER,COOL SITE,Macho,Abolengo,2,2024,92000,78766.51,0.6690611,0.09079943,0.06075037,2024-03-20,2022-08-10
EL PONIENTE,IL CAMPIONE (CHI),ALAMALHUA,Macho,El Paraiso,21,2023,160000,78761.945,0.78217477,0.12450082,0.0973814,2023-04-23,2021-09-10
ETERNAL OPTIMIST,IL CAMPIONE (CHI),EXPRESSLY (IRE),Macho,El Paraiso,6,2024,92000,78642.305,0.89839876,0.09382806,0.08429501,2024-04-28,2022-08-01
EL SIN VERGUENZA,IL CAMPIONE (CHI),I GUESS,Macho,El Paraiso,8,2024,90000,76932.69,0.77999353,0.14114211,0.110089935,2024-04-28,2022-08-17
EARLY MOMENT,FORTIFY (USA),ELMIRA,Macho,Vacacion,37,2023,145000,76141.96,0.78053445,0.1005452,0.07847899,2023-03-28,2021-08-09
SAFE WITH ME,FORTIFY (USA),SA TALAIA,Hembra,Abolengo,6,2023,145000,76141.96,0.7417992,0.19700202,0.14613594,2023-03-28,2021-08-08
EL QUE SABE,IL CAMPIONE (CHI),INTER ESPERADA,Macho,El Paraiso,5,2022,130000,75318.94,0.81986713,0.10468646,0.08582899,2022-05-01,2020-09-24
ESTILO PROPIO,FORTIFY (USA),EMELINE,Macho,Vacacion,3,2023,142000,74566.61,0.7707257,0.16528143,0.12738664,2023-03-28,2021-10-02
SAINT LOCKET,TREASURE BEACH (GB),STORMY FLO,Hembra,Orilla Del Monte,1,2018,72000,74359.26,0.5042143,0.02044326,0.010307784,2018-12-07,2016-11-02
EL LUCIANO,IL CAMPIONE (CHI),ILLA TICSI,Macho,El Paraiso,34,2023,150000,73839.33,0.8085297,0.09833403,0.07950598,2023-04-23,2021-08-23
BERNICIO,FORTIFY (USA),BABBY CRUSH,Macho,Vacacion,5,2023,140000,73516.375,0.7590409,0.1703966,0.12933798,2023-03-28,2021-08-19
ES GENIAL,EQUAL STRIPES,EPOCA BUENA,Hembra,Abolengo,1,2024,85000,72773.4,0.43179128,0.04277827,0.018471284,2024-03-20,2022-08-25
ENGLISH HUMOR,IL CAMPIONE (CHI),PERMIT,Macho,El Paraiso,1,2024,85000,72658.65,0.9040496,0.097561,0.08819998,2024-04-28,2022-07-04
DESAFIAME,EQUAL STRIPES,DESEMPEÑADA,Hembra,Abolengo,47,2021,111000,72425.94,0.64524287,0.063515805,0.04098312,2021-03-29,2019-08-08
MILAN TEAM,EQUAL STRIPES,MILAN HILL,Macho,Santa Ines,4,2023,150000,72227.69,0.5470975,0.06800437,0.03720502,2023-05-03,2021-10-21
GREAT FIGHT,EQUAL STRIPES,GREEN RYE,Hembra,Abolengo,8,2024,84000,71917.24,0.5805384,0.07398442,0.042950798,2024-03-20,2022-08-14
QUEEN SIENNA,FORTIFY (USA),GAMUZA FINA,Hembra,Abolengo,3,2022,130000,71551.77,0.714624,0.19535838,0.13960779,2022-03-27,2020-08-05
TWEEDY TRIGGER,COSMIC TRIGGER,BEAUTY BABE,Macho,Juan Antonio,1,2023,150000,71263.56,0.63221365,0.024986278,0.015796667,2023-05-16,2021-08-23
AMERICAN WARRIOR,EASING ALONG (USA),AMERICAN WHISPER (USA),Macho,La Pasion,9,2021,122000,71167.61,0.81382895,0.105151504,0.085575335,2021-04-28,2019-10-19
LOVELY NIGHTS,FORTIFY (USA),LIPGLOSS,Macho,Vacacion,9,2024,82000,70245.32,0.7432887,0.13849868,0.1029445,2024-03-21,2022-09-09
INTENSO AMOR,COSMIC TRIGGER,RAPUNZEL,Macho,Juan Antonio,6,2024,78000,70160.41,0.5300828,0.023814006,0.012623396,2024-04-09,2022-11-15
EX MINISTER,IL CAMPIONE (CHI),DALE NIÑERA,Macho,El Paraiso,1,2021,112000,69549.75,0.85627973,0.07009024,0.060016852,2021-04-24,2019-07-02
SUERTE DIVINA,FORTIFY (USA),STELLIFY,Hembra,Vacacion,30,2021,106500,69489.76,0.7156478,0.076316044,0.054615412,2021-03-29,2019-10-05
INFANTA BONITA,EQUAL STRIPES,INFANTA ELENA,Hembra,Abolengo,3,2024,80000,68492.62,0.55534714,0.08660262,0.04809452,2024-03-20,2022-09-15
CANDYDACY,EQUAL STRIPES,LEMONCELLA,Hembra,Abolengo,13,2020,90000,67768.15,0.6101941,0.0788612,0.048120636,2020-03-15,2018-07-22
CANDYCAKE,EQUAL STRIPES,LA LAURITA,Hembra,Abolengo,5,2020,90000,67768.15,0.5188853,0.063829035,0.03311995,2020-03-15,2018-09-09
SADALSUUD,EQUAL STRIPES,LA ACUARIANA (BRZ),Macho,El Chanar,2,2023,125000,67603.86,0.7922124,0.0254287,0.020144932,2023-04-11,2021-08-20
BAHA,MUBTAAHIJ (IRE),BAMBI MIA,Hembra,Abolengo,13,2022,122000,67148.586,0.43531674,0.05340285,0.023247154,2022-03-27,2020-08-03
MUZDAHEERA,ASIATIC BOY,ASIAN INFLUENCE (USA),Hembra,NN Criador,21,2019,68000,66999.516,0.58688754,0.017157488,0.010069516,2019-03-20,2016-09-11
AMOR Y ROSAS,ANGIOLO,ROSE OF GRACE,Macho,El Paraiso,2,2022,115000,66628.29,0.80661285,0.11136926,0.089831874,2022-05-01,2020-07-19
EMERGENT,IL CAMPIONE (CHI),ROMAN PRINCESS,Macho,El Paraiso,1,2022,115000,66628.29,0.6748682,0.06671274,0.045022305,2022-05-01,2020-09-17
EL LLAO LLAO,IL CAMPIONE (CHI),ADELINE MISCOU,Macho,El Paraiso,33,2023,135000,66455.39,0.84409946,0.1426551,0.1204151,2023-04-23,2021-10-10
CONE'S LOVE,EQUAL STRIPES,CONE'S MAGIC,Hembra,Abolengo,9,2022,120000,66047.8,0.52299994,0.04974578,0.02601704,2022-03-27,2020-08-13
EMBRACE IT,DADDY LONG LEGS (USA),EMBRACE MOI,Hembra,Abolengo,4,2024,77000,65924.14,0.4882608,0.059639372,0.029119568,2024-03-20,2022-09-25
DANZA OTOÑAL,FORTIFY (USA),DOLORE,Hembra,Vacacion,38,2021,100000,65248.594,0.7216479,0.15269735,0.11019373,2021-03-29,2019-07-13
ESTILO PERSONAL,FORTIFY (USA),ELIZABETTA,Macho,Vacacion,14,2021,100000,65248.594,0.8758523,0.20566532,0.18013243,2021-03-29,2019-07-21
SALAH AD DIN,LE BLUES,ISHAWA,Macho,El Paraiso,18,2022,112000,64890.16,0.6662008,0.07290964,0.048572462,2022-05-01,2020-10-28
VALE FOIA,FORTIFY (USA),VALERY FULL,Hembra,La Madrina,15,2024,70000,63938.145,0.30463812,0.02487185,0.0075769136,2024-04-08,2022-10-06
MARAKESH,ORPEN (USA),MARSELLA,Macho,Santa Ines,2,2019,65000,63573.395,0.5629498,0.057168033,0.03218273,2019-05-15,2017-09-04
INTENSE FOR ME,FORTIFY (USA),INTENSE LOOK,Hembra,Abolengo,7,2022,115000,63295.8,0.8170866,0.2055415,0.1679452,2022-03-27,2020-08-20
ACENTO FINAL,TREASURE BEACH (GB),A TU SALUD,Macho,Pozo De Luna,5,2023,127000,62812.867,0.8694211,0.09324016,0.08106496,2023-06-04,2021-07-23
IN GOOD SHAPE,FORTIFY (USA),IN MISSION,Hembra,Vacacion,8,2021,95000,61986.164,0.73260254,0.12668526,0.092809945,2021-03-29,2019-09-27
CATY SOUL,EQUAL STRIPES,CITY TUNE,Hembra,Abolengo,2,2021,95000,61986.164,0.54116666,0.13409522,0.072567865,2021-03-29,2019-10-23
HER SECRET,HURRICANE CAT (USA),BLACK ORCHID,Hembra,Rodeo Chico,12,2022,111000,61654.805,0.73487824,0.09805356,0.072057426,2022-03-30,2020-07-30
UNA ESPERANZA,FORTIFY (USA),UNITAS,Hembra,La Providencia,3,2022,106000,61619.086,0.76154536,0.08646067,0.06584372,2022-05-15,2020-11-06
EL NOMADE,IL CAMPIONE (CHI),SARAVECA,Macho,El Paraiso,3,2024,72000,61546.152,0.7324693,0.16105016,0.1179643,2024-04-28,2022-08-15
ELISEO,IL CAMPIONE (CHI),DIVA ROMANA,Macho,El Paraiso,16,2024,72000,61546.152,0.77162534,0.109084904,0.08417267,2024-04-28,2022-11-06
MARANOLA,COSMIC TRIGGER,BUNNY SAND,Hembra,Juan Antonio,28,2023,120000,61540,0.57587725,0.06414387,0.036938995,2023-06-23,2021-08-26
LO ALABARAN,LE BLUES,SEAS ALABADA,Macho,El Paraiso,2,2023,125000,61532.77,0.71138173,0.12073846,0.085891135,2023-04-23,2021-10-01
AS WE SPEAK,EQUAL STRIPES,ASPERGES,Hembra,Abolengo,8,2022,105000,61415.176,0.5329753,0.048793092,0.026005514,2022-05-22,2020-10-23
EL RESERO CON CAPA,ANGIOLO,MARLOTTE,Macho,Tres Jotas,1,2024,80000,60724.41,0.5610995,0.07103238,0.039856236,2024-09-10,2022-08-24
FAR AWAY RUN,EQUAL STRIPES,FAR AWAY EYES,Macho,La Pasion,15,2023,127000,60567.105,0.71997994,0.04406409,0.03172526,2023-04-27,2021-09-07
LLAMA VIOLETA,FORTIFY (USA),DANIELA BELLA,Hembra,Vacacion,12,2021,92500,60354.95,0.7134888,0.09983763,0.071233034,2021-03-29,2019-09-01
ANSIAS DE AMOR,COSMIC TRIGGER,LINDA STAR,Hembra,Juan Antonio,19,2024,67000,60265.99,0.59719,0.032624427,0.019482983,2024-04-09,2022-07-14
GOT FAITH,ORPEN (USA),GALICADA,Hembra,Abolengo,3,2020,80000,60238.355,0.5573783,0.09907982,0.05522494,2020-03-15,2018-10-08
EL VALLE ENCANTADO,IL CAMPIONE (CHI),ANGIOLINA,Macho,El Paraiso,26,2023,122000,60055.984,0.7762936,0.12824798,0.09955808,2023-04-23,2021-09-14
EXTOLL,IL CAMPIONE (CHI),SCARY MARY,Macho,El Paraiso,1,2023,122000,60055.984,0.92025125,0.074088216,0.06817977,2023-04-23,2021-07-13
RE CHETA,EQUAL STRIPES,REFINED WITH GLORY,Hembra,Abolengo,18,2024,70000,59931.035,0.59947866,0.08202905,0.049174666,2024-03-20,2022-07-20
MYTIKO,GOUVERNEUR MORRIS (USA),MARY'S GOLD,Macho,La Pasion,9,2024,70000,59735.574,0.64732337,0.14550756,0.09419044,2024-04-25,2022-10-05
MADRILEÑA,ORPEN (USA),FORTY MARCHANTA,Hembra,El Chanar,38,2019,61000,59661.184,0.8256181,0.10425084,0.08607138,2019-05-15,2017-08-26
EL QUEENCITO,IL CAMPIONE (CHI),QUEEN OF MOYVORE,Macho,El Paraiso,13,2023,120000,59071.46,0.75787723,0.08333376,0.06315676,2023-04-23,2021-09-29
NINGUNEANDO,BODEMEISTER (USA),STORMY NINGUNA,Macho,La Pasion,23,2022,102000,59049.387,0.74927497,0.06929839,0.051923547,2022-04-29,2020-10-03
IT'S MY LOOK,EQUAL STRIPES,IT LOOKS FINE,Hembra,Abolengo,2,2023,120000,58094.6,0.5491662,0.053677786,0.029478027,2023-05-14,2021-09-22
NIPPY DAY,FORTIFY (USA),STORMY NIPPY,Macho,Vacacion,3,2022,100500,57998.99,0.78591067,0.111597285,0.08770549,2022-05-19,2020-07-27
EL EPECUEN,IL CAMPIONE (CHI),IRISHNESS,Macho,El Paraiso,4,2022,100000,57937.64,0.8451251,0.110744424,0.09359289,2022-05-01,2020-08-15
EQUIPADA A TOPE,FORTIFY (USA),EQUIPADA,Hembra,Abolengo,18,2022,105000,57791.82,0.6458566,0.06456152,0.041697487,2022-03-27,2020-08-02
SUPER SELECTIVO,EQUAL STRIPES,EPOCA BUENA,Macho,Abolengo,4,2023,110000,57762.867,0.5239288,0.056700572,0.029707065,2023-03-28,2021-08-01
SAMOAN QUEEN,EQUAL STRIPES,SAMBULLIDA,Hembra,Abolengo,30,2023,110000,57762.867,0.55865955,0.08034058,0.04488303,2023-03-28,2021-07-26
SPLENDIDA,ORPEN (USA),SPLENDA,Hembra,La Madrina,12,2023,107000,57715.965,0.60295117,0.03622824,0.02184386,2023-04-04,2021-07-17
QUE TARDE GRIS,IL CAMPIONE (CHI),MARLOTTE,Macho,Tres Jotas,1,2023,120000,57456.785,0.6391646,0.13210085,0.08443419,2023-05-21,2021-08-14
CLASS LIFE,FORTIFY (USA),CIELO ABIERTO,Hembra,Vacacion,5,2024,67000,57395.566,0.7031335,0.1566595,0.11015254,2024-03-21,2022-08-18
VALBORG JOY,FORTIFY (USA),STORMY VAGUENESS,Macho,La Biznaga,54,2018,1710000,57286.43,0.7103436,0.21176408,0.15042526,2018-08-17,2016-10-06
JOY TEOLOGAL,FORTIFY (USA),STORMY TEOLOGA,Hembra,La Biznaga,81,2018,1710000,57286.43,0.7082645,0.15377814,0.1089156,2018-08-17,2016-10-30
TABACANO,FORTIFY (USA),TRIGORIA,Macho,Vacacion,6,2021,92000,57203.43,0.76789594,0.13703215,0.105226435,2021-05-22,2019-09-03
ENJOY ROME,ROMAN RULER (USA),ENJOY LOVE,Macho,Santa Ines,5,2019,58000,56727.027,0.7374167,0.11457989,0.08449312,2019-05-15,2017-08-16
GAIN TIME,DADDY LONG LEGS (USA),GIRL SPIRIT,Macho,Abolengo,54,2023,108000,56712.633,0.7032864,0.048884034,0.03437948,2023-03-28,2021-08-10
TOM BLAKE,HURRICANE CAT (USA),SURF POINT,Macho,El Mallin,1,2021,93000,56628.39,0.7527568,0.12483568,0.0939709,2021-05-19,2019-09-12
NAMTARRA,EQUAL STRIPES,NANDALY,Hembra,Abolengo,10,2024,66000,56506.406,0.7134739,0.025902241,0.018480573,2024-03-20,2022-09-26
BEROTASUN,FORTIFY (USA),BASKA HERMOSA,Macho,Santa Ines,1,2023,117000,56337.594,0.66445297,0.07039806,0.0467762,2023-05-03,2021-09-18
MASTER VILAS,MASTERCRAFTSMAN (IRE),WILLY WELLS,Macho,NN Criador,110,2019,57000,56191.98,0.74056834,0.1120856,0.08300705,2019-06-04,2017-10-29
TOUCH OF GLAM,EQUAL STRIPES,TOUCH THE SKY,Macho,Vacacion,11,2023,107000,56187.516,0.6783854,0.06922793,0.04696321,2023-03-28,2021-07-25
JOY ROSY,FORTIFY (USA),THE ROSY,Hembra,Abolengo,15,2022,102000,56140.625,0.59583217,0.102006346,0.060778663,2022-03-27,2020-08-20
LARRY BIRD,FORTIFY (USA),LIPGLOSS,Macho,Vacacion,6,2022,102000,56140.625,0.785144,0.10959378,0.0860469,2022-03-27,2020-07-03
IRON CHANCELLOR,FORTIFY (USA),INVOCARE,Macho,Vacacion,1,2021,90000,55959.875,0.81834936,0.11781451,0.09641343,2021-05-22,2019-09-30
DENISKA,HURRICANE CAT (USA),DIMITROVA,Hembra,Carampangue,6,2022,101000,55905.016,0.5760456,0.02491084,0.014349779,2022-06-26,2020-07-19
YOU SAY,TREASURE BEACH (GB),YOU LOVE RO,Hembra,Orilla Del Monte,3,2018,54000,55769.44,0.61333287,0.026430486,0.016210686,2018-12-07,2016-10-25
ANGEL DEL CARNAVAL,COSMIC TRIGGER,BUNNY SAND,Macho,Juan Antonio,11,2024,62000,55768.523,0.5869459,0.07163268,0.04204451,2024-04-09,2022-09-11
TEST END,COSMIC TRIGGER,TESALICA,Macho,Abolengo,22,2024,65000,55650.25,0.6074166,0.038184192,0.023193713,2024-03-20,2022-09-09
ILUSION EXTRA,EQUAL STRIPES,ILUSION PAMPA,Macho,Abolengo,48,2022,101000,55590.227,0.6084735,0.097111195,0.059089586,2022-03-27,2020-08-16
EASY GOING,IL CAMPIONE (CHI),VEDETTISIMA,Macho,El Paraiso,2,2024,65000,55562.5,0.8287576,0.13795336,0.11432989,2024-04-28,2022-08-28
ETHEREUM,PORTAL DEL ALTO,EVER LINDA,Hembra,Rodeo Chico,17,2023,104000,55403.3,0.6251788,0.035671532,0.022301085,2023-03-30,2021-09-26
QUEBRACHO KING,IL CAMPIONE (CHI),QUEEN HALO,Macho,Santa Ines,3,2023,115000,55374.56,0.70846176,0.08809381,0.062411096,2023-05-03,2021-08-29
TARZAN JOY,FORTIFY (USA),TARSA GIRL,Macho,El Arroyo,19,2022,100000,55275.016,0.6996749,0.076838486,0.05376196,2022-06-24,2020-08-21
TOBERA,FORTIFY (USA),TANCREDA,Hembra,Vacacion,8,2022,100000,55039.83,0.7326889,0.103535675,0.07585944,2022-03-27,2020-07-21
CANDY MATTERS,FORTIFY (USA),LEMONCELLA,Macho,Abolengo,24,2022,100000,55039.83,0.7093111,0.11406008,0.08090408,2022-03-27,2020-08-27
KALAMPUR,ORPEN (USA),KALITHEA,Macho,Santa Ines,10,2019,56000,54770.92,0.72002524,0.12262488,0.08829301,2019-05-15,2017-08-02
CURIOSO MASTER,MASTERCRAFTSMAN (IRE),CURIOSA GLORY,Macho,NN Criador,106,2019,55000,54220.332,0.7866632,0.09804676,0.077129774,2019-06-04,2017-10-19
HABANA Y SEGUROLA,COSMIC TRIGGER,IDOLA TOTAL,Hembra,Juan Antonio,32,2024,60000,53969.54,0.5690277,0.035231914,0.020047937,2024-04-09,2022-09-03
EL ASTRONOMO,EQUAL STRIPES,LA ACUARIANA (BRZ),Macho,El Chanar,26,2024,60000,53969.54,0.75947315,0.029463599,0.022376811,2024-04-09,2022-08-30
MR. HENDRIX,IL CAMPIONE (CHI),MISS TOP LADY,Macho,Santa Ines,9,2023,112000,53930.004,0.70575696,0.08528229,0.06018857,2023-05-03,2021-07-28
DRIVE JOY,FORTIFY (USA),ZIP DRIVE (FR),Macho,Firmamento,5,2024,75000,53507.906,0.7598032,0.15242048,0.11580956,2024-05-23,2022-07-29
SUPER BUENA ONDA,EQUAL STRIPES,EPOCA BUENA,Hembra,Abolengo,5,2021,82000,53503.848,0.46256873,0.036565483,0.01691405,2021-03-29,2019-10-27
GOT HURRY,EQUAL STRIPES,GOT HER,Hembra,Abolengo,22,2022,97000,53388.633,0.57144475,0.08156628,0.046610624,2022-03-27,2020-07-13
ORINGO JOY,FORTIFY (USA),STORMY ORIGINAL,Macho,La Biznaga,97,2018,1590000,53266.332,0.8264146,0.12917213,0.106749736,2018-08-17,2016-10-03
NIKOLAI D,DADDY LONG LEGS (USA),NIFTY,Macho,Abolengo,9,2024,62000,53081.777,0.6357214,0.1302745,0.08281829,2024-03-20,2022-09-12
TRILOGIA ROMANA,FORTIFY (USA),TARSILIA,Hembra,Vacacion,26,2021,81000,52851.363,0.68258697,0.19020215,0.12982951,2021-03-29,2019-09-20
EMIRETH,ORPEN (USA),EMBRACE MOI,Hembra,Abolengo,9,2020,70000,52708.56,0.4536828,0.043121118,0.01956331,2020-03-15,2018-10-03
ERUDITE,IL CAMPIONE (CHI),BABY JESS,Macho,El Paraiso,14,2023,107000,52672.05,0.8540276,0.09639895,0.082327366,2023-04-23,2021-09-30
CASSANDRA LISTA,EQUAL STRIPES,CANDY ISLAND,Hembra,Abolengo,1,2022,90000,52641.58,0.45944765,0.044148833,0.020284077,2022-05-22,2020-10-20
GOT YOU BACK,EQUAL STRIPES,GALICADA,Hembra,Abolengo,12,2023,100000,52511.695,0.51327986,0.08914368,0.045755655,2023-03-28,2021-09-17
SACAR PROVECHO,EQUAL STRIPES,SPINKS,Macho,Vacacion,7,2023,100000,52511.695,0.6979305,0.070841976,0.049442776,2023-03-28,2021-07-25
IMPACTO DIVINO,FORTIFY (USA),IDOCRASE,Macho,Vacacion,2,2022,95000,52287.836,0.7616383,0.16561837,0.1261413,2022-03-27,2020-09-08
DONOR JOY,FORTIFY (USA),STORMY DOVE,Macho,La Biznaga,70,2018,1560000,52261.305,0.82580906,0.15443635,0.12753494,2018-08-17,2016-10-22
JOY DESEADA,FORTIFY (USA),STORMY NIGHT,Hembra,Las Retamas,7,2023,110000,52259.945,0.6223738,0.045637526,0.0284036,2023-05-16,2021-09-25
VALERY ROY,FORTIFY (USA),VALERY LADY,Hembra,Vacacion,22,2021,80000,52198.875,0.6905455,0.13614842,0.09401668,2021-03-29,2019-11-03
ICE BEER,FORTIFY (USA),IGARA,Macho,Vacacion,1,2022,90000,51939.395,0.7515171,0.105474286,0.07926573,2022-05-19,2020-10-01
KARALIS,EQUAL STRIPES,KALITHEA,Macho,Santa Ines,2,2021,85000,51757.13,0.66623443,0.11490205,0.0765517,2021-05-19,2019-07-19
AZURE,ANGIOLO,EXPRESSLY (IRE),Macho,El Paraiso,7,2023,105000,51687.527,0.9027476,0.037005372,0.03340651,2023-04-23,2021-07-23
ECSTATIC,IL CAMPIONE (CHI),SPIFFY,Macho,El Paraiso,9,2023,105000,51687.527,0.8704724,0.05730967,0.049886484,2023-04-23,2021-08-18
FUNKY PRESIDENT,FORTIFY (USA),FARNETA,Macho,Santa Ines,5,2023,107000,51522.414,0.7654725,0.07645461,0.0585239,2023-05-03,2021-08-08
ALWAYS FUNNY,FORTIFY (USA),AYRA,Hembra,Vacacion,2,2024,60000,51399.016,0.7218153,0.15236261,0.10997766,2024-03-21,2022-07-24
IMPERIAL JOY,FORTIFY (USA),ITAN DE HUI,Macho,Vacacion,26,2024,60000,51399.016,0.72377574,0.13327962,0.09646456,2024-03-21,2022-10-26
BARBIE BONITA,COSMIC TRIGGER,BARBIE GIRL,Hembra,Abolengo,12,2024,60000,51369.46,0.5689924,0.04465289,0.025407154,2024-03-20,2022-08-07
MASTER DIAMOND,MASTERCRAFTSMAN (IRE),SEA DIAMONDS (USA),Macho,NN Criador,86,2019,52000,51262.86,0.7756019,0.11853493,0.09193592,2019-06-04,2017-07-22
RAMMEL,FORTIFY (USA),ROMAN LIBERTAS,Macho,Vacacion,14,2022,93000,51187.04,0.79924345,0.13789053,0.1102081,2022-03-27,2020-07-17
LUNA DEL TAFI,LE BLUES,BIEN MIA,Hembra,Tradicion,10,2024,63000000,51012.145,0.61175454,0.01625055,0.009941348,2024-09-24,2022-11-13
FEEL STRONG,FORTIFY (USA),FINDER'S DREAM (USA),Macho,Vacacion,20,2021,78000,50893.902,0.7817383,0.1088969,0.08512888,2021-03-29,2019-08-17
BANCO A MORIR,EQUAL STRIPES,BARBOUR GIRL,Macho,Abolengo,3,2022,87000,50886.86,0.5865252,0.05493493,0.03222072,2022-05-22,2020-08-11
BENTROVATO,SUPER SAVER (USA),BETHANIA (USA),Macho,La Providencia,9,2021,81000,50780.387,0.69847184,0.08280829,0.057839263,2021-05-09,2019-08-17
TIME BACK,FORTIFY (USA),TULIPERA,Macho,Vacacion,10,2022,92000,50636.64,0.76011443,0.09516603,0.07233707,2022-03-27,2020-07-18
IMPENSADO CORAZON,EQUAL STRIPES,INFANTA ELENA,Macho,Abolengo,1,2022,92000,50636.64,0.7306299,0.100051746,0.0731008,2022-03-27,2020-07-15
BALANIA,FORTIFY (USA),BABBY CRUSH,Hembra,Vacacion,21,2022,92000,50636.64,0.78290796,0.13666473,0.10699591,2022-03-27,2020-08-25
LAIMA,FORTIFY (USA),LITHUANIA,Hembra,Vacacion,4,2022,92000,50636.64,0.62919265,0.06122975,0.03852531,2022-03-27,2020-09-15
KOPKE,HI HAPPY,KOKOLA,Macho,La Providencia,2,2023,105000,50600.055,0.84572583,0.13239738,0.111971885,2023-05-08,2021-07-30
JOY KITTY,FORTIFY (USA),STORMY KINDLY,Hembra,La Biznaga,63,2018,1500000,50251.254,0.82387096,0.1195436,0.098488495,2018-08-17,2016-10-09
MULANA,FORTIFY (USA),MARADONIANA INC,Hembra,Vacacion,29,2023,95000,49886.113,0.72619724,0.084944956,0.06168679,2023-03-28,2021-07-07
ROYAL BLISS,FORTIFY (USA),BELLEZA ROMANA,Hembra,Vacacion,23,2023,95000,49886.113,0.7465387,0.15572876,0.11625754,2023-03-28,2021-09-25
DRAGONET,TREASURE BEACH (GB),DIOSA AZTECA,Macho,Pozo De Luna,7,2022,85000,49650.277,0.84687334,0.14720626,0.12466506,2022-06-12,2020-09-27
FEEL COOL,IN THE DARK,FOOL TO CRY,Macho,Vacacion,76,2021,76000,49588.934,0.72505367,0.05493252,0.039829023,2021-03-29,2019-09-14
MONEY BIG,CIMA DE TRIOMPHE (IRE),MONIE BAY (USA),Hembra,Orilla Del Monte,4,2018,48000,49572.836,0.56015265,0.01704734,0.009549113,2018-12-07,2016-10-16
