title,eday,year,genre,auctionOrder,haras1,name,padrilloAuction,yeguaAuction,studbook_id,birth_eday,PR,PS,PRS,valueUSDB,pricePerBp
Venta Anual De Productos 2021 Haras La Madrina  Resumen,04apr2023,2023,Macho,17,La Madrina,LONG THE AWARD,LONG ISLAND SOUND,WIN THE AWARD,429678,27sep2021,.68674219,.045944251,.031551857,10248.629,3248.1858
Venta Anual De Productos 2021 Haras La Madrina  Resumen,04apr2023,2023,Hembra,6,La Madrina,BAMBINA EQUAL,EQUAL STRIPES,BAMBINA WISE,429684,12sep2021,.40552285,.016945703,.0068718698,34521.699,50236.254
Venta Anual De Productos 2021 Haras La Madrina  Resumen,04apr2023,2023,Hembra,7,La Madrina,MARCHANTA ORPEN,ORPEN,MARCHANTA QUEEN,430987,19oct2021,.3577798,.019590244,.0070089935,46927.934,66953.883
Venta Anual De Productos 2021 Haras La Madrina  Resumen,04apr2023,2023,Hembra,15,La Madrina,ATHENEA LONG,LONG ISLAND SOUND,INDIANA PACER,427071,12jul2021,.58084404,.021897558,.012719066,6472.8184,5089.0674
Venta Anual De Productos 2021 Haras La Madrina  Resumen,04apr2023,2023,Hembra,8,La Madrina,CANDY BET,DADDY LONG LEGS,CANDY BEACH,428656,05sep2021,.46202329,.040178705,.018563498,22654.863,12203.984
Venta Anual De Productos 2021 Haras La Madrina  Resumen,04apr2023,2023,Hembra,9,La Madrina,EXCELLENT BEACH,TREASURE BEACH,EXCELENT BID,,,,,,19418.455,
Venta Anual De Productos 2021 Haras La Madrina  Resumen,04apr2023,2023,Macho,11,La Madrina,LONG PREGNANCY,LONG ISLAND SOUND,ARRIBA BABY,427072,25jul2021,.6295557,.076330222,.048054125,10788.03,2244.9749
Venta Anual De Productos 2021 Haras La Madrina  Resumen,04apr2023,2023,Macho,5,La Madrina,MARIO EL BELLO,DADDY LONG LEGS,LA BELLA MARIA,430992,07nov2021,.5307399,.05714586,.030329589,11866.834,3912.626
Venta Anual De Productos 2021 Haras La Madrina  Resumen,04apr2023,2023,Macho,16,La Madrina,MISTER DADDY,DADDY LONG LEGS,LADY ULFAH,430988,09oct2021,.4460839,.054652844,.024379754,15103.243,6194.9941
Venta Anual De Productos 2021 Haras La Madrina  Resumen,04apr2023,2023,Hembra,13,La Madrina,VALE FORTY,FORTIFY,VALERY FULL,430990,10oct2021,.4610613,.018007874,.0083027342,98710.477,118889.12
Venta Anual De Productos 2021 Haras La Madrina  Resumen,04apr2023,2023,Macho,3,La Madrina,GREAT DADDY,DADDY LONG LEGS,GREAT NISTEL,427927,03sep2021,.66481656,.058688857,.039017323,18879.053,4838.6333
Venta Anual De Productos 2021 Haras La Madrina  Resumen,04apr2023,2023,Hembra,12,La Madrina,SPLENDIDA,ORPEN,SPLENDA,427930,17jul2021,.62138462,.041632798,.02586998,57715.965,22310.016
Venta Anual De Productos 2021 Haras La Madrina  Resumen,04apr2023,2023,Macho,10,La Madrina,GRAND FREY,GRAND REWARD,FREYJA,427070,07jul2021,.66604167,.036071129,.024024876,22654.863,9429.7529
Venta Anual De Productos 2021 Haras La Madrina  Resumen,04apr2023,2023,Macho,2,La Madrina,WIN THE BEACH,TREASURE BEACH,WIN THE STARS,429680,10sep2021,.66306049,.038178131,.025314409,17260.85,6818.5869
Venta Anual De Productos 2021 Haras La Madrina  Resumen,04apr2023,2023,Macho,14,La Madrina,UP DADDY,DADDY LONG LEGS,UPDATE,,,,,,24812.471,
Venta Anual De Productos 2021 Haras La Madrina  Resumen,04apr2023,2023,Macho,1,La Madrina,KHALESI CAT,HURRICANE CAT,KHALESI QUEEN,,,,,,21576.061,
Venta Anual De Productos 2021 Haras La Madrina  Resumen,04apr2023,2023,Macho,19,La Madrina,HERDADDY,DADDY LONG LEGS,HERNIKA,427928,10aug2021,.59199858,.048849959,.028919106,14024.439,4849.541
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Hembra,19,Santa Maria De Araras,ORCHID BLACK,DANIEL BOONE,ORDEM UNIDA,427388,31jul2021,.74483818,.13915609,.10364877,13256.332,1278.9667
Gran Venta Anual De Productos 2021 Haras Avourneen  Resumen,02apr2023,2023,Hembra,8,Avourneen,LANCARA,MANIPULATOR,LINCAY,433071,12oct2021,.76547492,.031809658,.024349496,34466.465,14154.898
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Hembra,28,Santa Maria De Araras,TANDILEÑA,JAPAN,TANGA CARIOCA,431132,10oct2021,.44718638,.04570948,.020440657,13256.332,6485.2769
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Macho,51,Santa Maria De Araras,KISS DANDY,CISNE BRANCO,KISS DADDY,433058,07oct2021,.41545117,.032024939,.013304798,2916.3931,2191.9861
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Hembra,43,Santa Maria De Araras,SELEUCIA,DANIEL BOONE,SAY SARAH,427391,02aug2021,.74718785,.088486739,.066116214,6097.9126,922.30212
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Hembra,8,Santa Maria De Araras,TAKE MY GIRL,JAPAN,TAKEN AWAY,430913,07oct2021,.59052461,.097318009,.057468679,15377.345,2675.7783
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Hembra,40,Santa Maria De Araras,MALTESE QUEEN,DANIEL BOONE,MIAMI QUEEN,427387,27jul2021,.68617451,.11869406,.081444837,12726.079,1562.5397
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Macho,30,Santa Maria De Araras,MYTHICAL COLT,DANIEL BOONE,MA VIE EN ROSE,431880,20oct2021,.70861936,.090061225,.063819125,6893.2925,1080.1295
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Macho,7,Santa Maria De Araras,MAGNUM FIFTH,DANIEL BOONE,MAGNA CARTA,432636,21oct2021,.77749217,.096484214,.075015724,13786.585,1837.826
Gran Venta Anual De Productos 2021 Haras Avourneen  Resumen,02apr2023,2023,Hembra,15,Avourneen,LA CORDIAL,SANTILLANO,LA IMPRUDENTE,433068,14aug2021,.81773382,.015666841,.012811306,7953.7993,6208.4219
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Macho,27,Santa Maria De Araras,JAN DE LICHE,DANIEL BOONE,JOLIE GIGI,428777,22aug2021,.66695577,.1059127,.070639089,6363.0396,900.78168
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Macho,12,Santa Maria De Araras,THORIN BOY,DANIEL BOONE,TOP ROAD,428786,11sep2021,.72206622,.12662558,.091432057,11135.319,1217.8792
Gran Venta Anual De Productos 2021 Haras Avourneen  Resumen,02apr2023,2023,Macho,5,Avourneen,ROYAL SCOT,ANGIOLO,ROYAL SENSE,433070,30sep2021,.82576144,.024837494,.020509845,11135.319,5429.2559
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Hembra,34,Santa Maria De Araras,FUTURE GIRL,DANIEL BOONE,FUZARCA,427394,08aug2021,.66550446,.14407976,.095885724,27573.17,2875.6282
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Macho,42,Santa Maria De Araras,FILOSTRATO,JAPAN,FUNK DANCE,430908,03oct2021,.62504649,.10209901,.063816629,4242.0264,664.72113
