rank,name,padrillo,M,PRS,PR,PS,Sire_Stk_Wnrs_Rnrs,MomSib_Sibs_at2y,Dam_Mean_T3_BSN,Dam_Raced_STK,Dam_Placed_STK,Dam_Total_Rcs,Best_Foal_Bsn,Best_Foal_Raced_Stk,Best_Foal_Placed_Stk,Dam_Sib_Total_G1G2,DamSibs_G1G2_Total,PRS_Value,ownCharac,father,Fathsiblings,mother,Momsiblings,uncles,maternalParents,inbreedingCoefficient,M_age_at_birth,M_season,MomSib_Sibs_raced_at2y,MomSib_wnrs_STK_at2y,MSib_STK_won_at2y,MSib_mean_cumAEI_at2y,studbook_id,birth_month,criador,birth_eday,MomSib_wnrs3yo_at2y,FathSib_runshare_3yo,sex,Dam_Won_G1_STK,Dam_Won_STK,FathSibSTKWnrsPerRnr,FathSibSTKWnrsPerOffs,MSib_StkWnrs_Offs,FathSib_STKWinnersLast4Gens,FathSibSTKWnrShL4Gens,lote,haras,link,start,end_date,offs_stk_rnrs,offs_stk_wnrs,sire_ps,f_STK_races_total_races,raced_won_g1_yn,cei_per_offs
4196,CLAUDINA RULER,SANDINO RULER,CLAUDETTE,.0025208964745664,.4127049907374878,.006108228713352,,0,,No,No,0,,No,No,0,,554.5972244046102,-.18115956,.13615306,-.18883784,.082845896,-.079702057,-.0058447868,-.0042968569,.0307939835693105,5.2630138,5,0,0,0,0,446424,10,Mautone Daniel Dario,25oct2023,0,0,1,0,0,0,0,0,0,0,43,EGALITE DE 9,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025,0,0,-.052684784,,n-n-n,
3135,SANDINO REAL,SANDINO RULER,UNREAL LAND,.0066676983888467,.5747749001549253,.0116005385535268,,0,96.965866,No,No,21,,No,No,0,,1466.893645546276,-.080224693,.13615306,-.18883784,.11300576,-.079702057,.0086293519,-.0042968569,.0355078431621223,8.2602739,5,0,0,0,0,446426,11,Mautone Daniel Dario,04nov2023,0,0,2,0,0,0,0,0,0,0,47,EGALITE DE 9,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025,0,0,-.052684784,,n-n-n,
3572,ZOYKA KIIN HA,SEÑOR CANDY (USA),WILLKA CAT,.0046171084058458,.5195913828525196,.0088860372943411,.045977011,1,89.659523,No,No,7,,No,No,0,,1015.76384928607,-.105308,-.20760959,.26799113,.015022516,-.079702057,.022999719,.040079694,.0270673927370808,11.035617,8,0,0,0,0,446733,9,Barreca Erika Noel,24sep2023,0,.52290076,1,0,0,.045801528,.024340771,0,8,.028776979,7,LA CAÑADA,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025,0,0,.060381532,.0805915,n-n-n,0
4552,INVINCIBLE ORPEN,EMOTION ORPEN,IMAGINADORA,.001717779944417,.3133150889544243,.0054825956520304,.04648526,3,98.459755,No,No,16,47.431007,No,No,0,0,377.9115877717506,-.080224693,.47301376,-.18703337,-.1017887,-.079702057,.035803482,-.0042968569,.154361218552367,12.263014,10,2,0,0,.025638178,446795,11,Perez Francisco Federico,04nov2023,0,0,2,0,0,0,0,0,0,0,16,ESTABLECIMIENTO MARIANA EVA,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025,0,0,.2859804,,n-n-n,.042730298
2424,PUNY JOY,ROMAN JOY,PUNKY CATCHER,.0104490405127662,.6476123312277127,.0161347151820865,.083333336,6,101.19039,No,No,20,103.20713,No,No,0,0,2298.78891280856,.056797624,.15658216,.13906282,-.21394342,.1192397,-.0043992475,-.0042968569,.0280073428511969,16.013699,10,7,0,0,.1366531,447031,9,Orilla Del Monte,09sep2023,1,.85714287,2,0,0,.071428575,.016666668,0,1,.023255814,12,ORILLA DEL MONTE,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025,0,0,.295645,.1891892,n-n-n,1.3665309
3522,MR JOY BOY,ROMAN JOY,MEET CATCHER,.0048133698543629,.4746033897238517,.0101418783737798,.083333336,3,,No,No,0,24.997173,No,No,0,0,1058.941367959837,-.0068198442,.15658216,.13906282,-.12965602,-.079702057,.014070675,-.0042968569,.0284694927468081,12.150685,10,1,0,0,0,447035,10,Orilla Del Monte,05oct2023,0,.85714287,2,0,0,.071428575,.014084507,0,1,.023255814,23,ORILLA DEL MONTE,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025,0,0,.295645,.1891892,n-n-n,0
3373,EMPERADOR BRAVO,IMPERADOR,BARBARA BREW (USA),.0055126079041,.3962454225123752,.0139121049503805,,4,97.410339,No,No,16,96.316803,No,No,0,0,1212.77373890201,.0054142475,.20836984,-.21107177,-.15564173,-.036108263,-.0082508475,.040079694,.0294152207097795,14.180822,10,3,0,0,.12869269,447181,9,La Justina,30sep2023,1,0,2,0,0,0,0,0,0,0,24,FERRE,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025,0,0,-.0027019382,,n-n-n,.38607803
2086,ROJO ARGENTINO,SEÑOR CANDY (USA),DE ROJO CARMESI,.0130216608093964,.6596565627460983,.0197400610329537,.045977011,0,102.87368,No,No,7,,No,No,0,,2864.765378067209,-.023947656,-.20760959,.26799113,.13861728,-.079702057,.043183669,-.0042968569,.020991511970351,7.0219178,5,0,0,0,0,447217,10,Mara Ferre S.R.L.,12oct2023,0,.52290076,2,0,0,.045801528,.023762377,0,8,.028776979,4,FERRE,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025,0,0,.060381532,.0805915,n-n-n,
357,HURACAN DE ARECO,IL CAMPIONE (CHI),KATRINA INC,.0344450642869469,.76350607090248,.0451143292760359,.098591551,2,110.15852,Yes,Yes,31,78.186989,No,No,0,0,7577.914143128313,.12775564,-.023491183,.41406468,.16733229,-.079702057,.017088041,.0039562704,.0283777198601456,10.879452,8,1,0,0,.033860877,447535,8,Ibañez Alberto Ruben,11aug2023,0,.5854342,2,0,1,.098039217,.05952381,0,31,.063136458,10.2,PARQUE PATRICIOS,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025,0,0,.3905735,.12756078,y-y-n,.11851306
909,SU MAJESTAD,COSMIC TRIGGER,DONDE SERAS REINA,.0252284053360699,.7461535245939867,.0338112794545837,.075757578,2,,No,No,0,88.420891,No,No,0,0,5550.249173935379,-.045969129,-.058196783,.38408953,.078024209,-.079702057,.043759301,.048332822,.0298582542891381,9.1041098,7,3,0,0,.042357888,447685,10,Muñoz Maria Cristina,21oct2023,0,.46666667,2,0,0,.074074075,.036697246,0,12,.035190616,11.2,PARQUE PATRICIOS,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025,0,0,.32589275,.10441044,n-n-n,.27532625
2818,TORTONI,MARCONI (USA),ELLIS ISLAND,.0082568673073143,.6549222619538693,.0126074005832098,.04648526,0,79.730064,No,No,9,,No,No,0,,1816.510807609143,-.033734977,.093363136,-.094052941,.11655995,-.079702057,.022999719,.040079694,.0250124884296383,5.1506848,4,0,0,0,0,447962,10,Muñoz Maria Cristina,16oct2023,0,.64999998,2,0,0,.050000001,.010638298,0,1,.018181818,25.200001,PARQUE PATRICIOS,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025,0,0,-.00068980455,.040816326,n-n-n,
2397,BELLO SANDI,SANDINO RULER,CATCH BELLEZZA,.0106215211235527,.515230352966945,.0206150919921329,,0,,No,No,0,,No,No,0,,2336.734647181585,.037223041,.13615306,-.18883784,.15239564,-.079702057,.014070675,-.0042968569,.0573836863914039,3.9479451,4,0,0,0,0,448337,9,Mautone Daniel Dario,17sep2023,0,0,2,0,0,0,0,0,0,0,31,EGALITE DE 9,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025,0,0,-.052684784,,n-n-n,
4248,SANDI CANYOU,SANDINO RULER,CANYOUSELLITNOW,.0023952776194217,.4286543580078264,.0055878998420866,,6,108.8967,YES,No,8,100.34511,No,No,0,0,526.9610762727672,-.20562786,.13615306,-.18883784,.013621747,-.022861559,.0012879372,.011152316,.0331320944023901,14.252055,10,4,0,0,.18881315,449520,11,Bingo Horse S.A.,04nov2023,0,0,1,0,0,0,0,0,0,0,49,EGALITE DE 9,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025,0,0,-.052684784,,y-n-n,.66084599
3235,SANDI SAM,SANDINO RULER,GIRALDA SAM,.0061818631799268,.4741986673807386,.0130364414857441,,1,,No,No,0,,No,No,0,0,1360.009899583902,-.05820322,.13615306,-.18883784,.085854769,-.079702057,-.010256402,-.0042968569,.0439831990952371,8.0931511,8,1,0,0,.041796114,449551,10,Atlantica De Juegos S.A.,26oct2023,0,0,2,0,0,0,0,0,0,0,41,EGALITE DE 9,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025,0,0,-.052684784,,n-n-n,.041796114
3095,SANDI TALENT,SANDINO RULER,RONSIÑA TALENT,.006831040906966,.5323486821473398,.0128318922090905,,1,,No,No,0,91.972755,No,No,0,0,1502.828999532529,-.094905674,.13615306,-.18883784,.060084045,.069762386,-.016844787,-.074227527,.0360234066392877,6.1698632,6,1,0,0,.17135364,450366,11,Mautone Daniel Dario,10nov2023,0,0,2,0,0,0,0,0,0,0,45,EGALITE DE 9,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025,0,0,-.052684784,,n-n-n,1.1994755
