rank,TPBRS,PBRS,PB,PR,PS,PRS,inbreedingCoefficient,mother,Momsiblings,uncles,maternalParents,M_age_at_service,M_season_orig,birthRate,birthRateLast3,hadRestYear,M_total_rcs,M_won_rcs,M_cumAEI,M_STK_ran,M_STK_won,M_g1_STK_placed,M_g1_STK_won,MomSib_Sibs_at2y,MomSib_Sibs_raced_at2y,MomSib_wnrs_STK_at2y,Dam_Raced_STK,MSib_StkWnrs_Offs,Dam_Placed_STK,Dam_Total_Rcs,Dam_Mean_T3_BSN,Best_Foal_Bsn,Best_Foal_Raced_Stk,Best_Foal_Placed_Stk,Dam_Sib_Total_G1G2,Dam_Sib_Total_G1G2G3,DamSibs_G1G2_Total,DamSibs_TotalG1G2_Won,foal_wnrs_3yo,num_births,num_services,MomSib_STKRunners_at2y,MSibs_GSTK_Total_runs,MSibs_GSTK_Total_wins,name_clean,padrillo_clean,M_clean,Dam_raced_stk_won_stk,foal_stk_wnrs,offs_ran_over_2yo,blank,blank1,blank2,blank3,blank4,blank5,blank6,foal_stk_rnrs,date_last_service,lote,haras,link,start,end_date
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,callejon del crimen,village king,queen norita,,,,,,,,,,,,,23,Gran Venta Fallow Areco,https://www.fallowremates.com/remates/4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,caraluna,pure prize,luna de paita,,,,,,,,,,,,,4,TRES MARÍAS,https://arg-sales.com/remates/view/359,19-06-2025,22-06-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,caspian,remote,avalonia,,,,,,,,,,,,,16,Gran Venta Fallow Areco,https://www.fallowremates.com/remates/4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cerca del cielo,safety check,torre de babel,,,,,,,,,,,,,11,Gran Venta Fallow Areco,https://www.fallowremates.com/remates/4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,circostanza,pure prize,cirandinha,,,,,,,,,,,,,20,Juan Antonio y Santa Maria de Araras e Invitados,https://www.fallowremates.com/remates/5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee boy,nicodemus,la cafeina,,,,,,,,,,,,,8,El Trebol,https://www.fallowremates.com/remates/6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conni craf,mastercraftsman,conniving,,,,,,,,,,,,,12,Juan Antonio y Santa Maria de Araras e Invitados,https://www.fallowremates.com/remates/5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cosa seria,touareg,piu bella cosa,,,,,,,,,,,,,19,Don Florentino - La Valkiria,https://www.fallowremates.com/remates/7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cosmic love,cosmic trigger,surprise of love,,,,,,,,,,,,,5,Juan Antonio y Santa Maria de Araras e Invitados,https://www.fallowremates.com/remates/5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cry macho,nicodemus,grand athenas,,,,,,,,,,,,,17,El Trebol,https://www.fallowremates.com/remates/6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daddy boy,daddy long legs,calcolatrice,,,,,,,,,,,,,11,TRES MARÍAS,https://arg-sales.com/remates/view/359,19-06-2025,22-06-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dancer baby,lizard island,ride on baby,,,,,,,,,,,,,27,Don Florentino - La Valkiria,https://www.fallowremates.com/remates/7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diguillin,treasure beach,diosa azteca,,,,,,,,,,,,,7,POZO DE LUNA,https://arg-sales.com/remates/view/349,19-05-2025,22-05-2025
