rank,name,padrillo,M,PRS,PR,PS,Sire_Stk_Wnrs_Rnrs,MomSib_Sibs_at2y,Dam_Mean_T3_BSN,Dam_Raced_STK,Dam_Placed_STK,Dam_Total_Rcs,Best_Foal_Bsn,Best_Foal_Raced_Stk,Best_Foal_Placed_Stk,Dam_Sib_Total_G1G2,DamSibs_G1G2_Total,PRS_Value,ownCharac,father,Fathsiblings,mother,Momsiblings,uncles,maternalParents,inbreedingCoefficient,M_age_at_birth,M_season,MomSib_Sibs_raced_at2y,MomSib_wnrs_STK_at2y,MSib_STK_won_at2y,MSib_mean_cumAEI_at2y,studbook_id,birth_month,offs_stk_rnrs,offs_stk_wnrs,sire_ps,birth_eday,MomSib_wnrs3yo_at2y,FathSib_runshare_3yo,sex,Dam_Won_G1_STK,Dam_Won_STK,FathSibSTKWnrsPerRnr,FathSibSTKWnrsPerOffs,MSib_StkWnrs_Offs,FathSib_STKWinnersLast4Gens,FathSibSTKWnrShL4Gens,lote,haras,link,start,end_date,f_STK_races_total_races,raced_won_g1_yn,cei_per_offs
12,BESITAS,COSMIC TRIGGER,OLIVIA SOY,.005600241,.41973403,.013342356,.073170729,3,,No,No,0,95.047363,No,No,0,0,1232.053,-.011261523,-.13395272,.09524025,-.069159865,.090218276,-.0031255707,-.0024776245,.0225412327126833,9.1424656,5,1,0,0,.20258525,443311,9,0,0,-.038712472,14sep2023,0,.4593496,1,0,0,.073170729,.034615386,0,10,.029325513,3,El Trebol,https://www.fallowremates.com/remates/6,,,.10534052,n-n-n,.94539779
1,BIEN LUNATICO,MASK (USA),LUA DE CRISTAL,.010756782,.5305621,.020274313,.045471769,11,,No,No,0,120.42694,YES,YES,4,.05479452,2366.4922,-.07325393,.03264071,.033367828,-.030975536,.29498529,-.016869195,.022126198,.0220475168098346,18,10,5,1,2,.36916205,445696,10,0,0,.066008538,20oct2023,0,.72500002,2,0,0,.050000001,.015151516,.090909094,2,.02020202,10,Gran Venta Fallow Areco,https://www.fallowremates.com/remates/4,,,.15458937,n-n-n,2.4498935
41,BORRACHO DE LOCO,TOUAREG,TINA KEY,.0056991451,.41236115,.013820762,0,4,89.627312,No,No,8,94.5923,No,No,0,0,1253.8119,.030658424,-.063151799,-.015368305,.02733276,-.11120164,.10682103,-.0045907702,.0238188524963334,13.084931,6,2,0,0,.05588904,442507,8,0,0,-.078520104,22aug2023,0,.61290324,2,0,0,0,0,0,0,0,7,Don Florentino - La Valkiria,https://www.fallowremates.com/remates/7,,,.0073529412,n-n-n,.0698613
56,BRIGADISTA,DANIEL BOONE (BRZ),BRANCA SOY,.016193572,.59114975,.027393352,.052287582,0,,No,No,0,,No,No,0,,3562.5859,.1649335,.0044128597,-.026038073,-.077419981,-.13301867,-.058087729,-.01562595,.0595932570795412,3.9342465,1,0,0,0,0,441758,7,0,0,-.021625213,03jul2023,0,.4509804,2,0,0,.052287582,.025974026,0,2,.0080645159,32,Juan Antonio y Santa Maria de Araras e Invitados,https://www.fallowremates.com/remates/5,,,.079058029,n-n-n,
14,BRISTOL BOY,SUGGESTIVE BOY,BELLA ITALIA,.039905764,.72642946,.054934122,.064516127,6,95.310143,No,No,10,94.974442,YES,YES,2,.01904762,8779.2686,-.046907485,.022225037,.02748771,-.081370041,.23774494,-.052978475,.034852028,.0363983415372786,12.241096,8,5,1,1,.13491438,444828,10,0,0,.049712747,08oct2023,1,.45161289,2,0,0,.064516127,.034782607,.16666667,5,.027173912,6,El Trebol,https://www.fallowremates.com/remates/6,,,.093473449,n-n-n,2.3610017
24,BUIN,DADDY LONG LEGS (USA),BIAXIQUI,.02706101,.71338427,.037933286,.081081077,0,,No,No,0,,No,No,0,,5953.4224,-.025467336,.030282989,.077989727,-.1089041,-.17644922,.062644571,-.0060006697,.0438207309307472,5.1068492,2,0,0,0,0,445344,9,0,0,.10827272,29sep2023,0,.67567569,2,0,0,.081081077,.033426184,0,12,.040268455,8,POZO DE LUNA,https://arg-sales.com/remates/view/349,19-05-2025,22-05-2025,.12418301,n-n-n,
40,CALLEJON DEL CRIMEN,VILLAGE KING,QUEEN NORITA,.009618585,.65218687,.014748204,,3,89.652779,No,No,8,59.814526,No,No,0,0,2116.0886,-.071934402,.035052195,-.055323511,.025665693,-.10457087,.02554765,.028702773,.0310241234819841,9.0356169,4,1,0,0,0,447132,10,0,0,-.020271316,04oct2023,0,0,2,0,0,0,0,0,0,0,23,Gran Venta Fallow Areco,https://www.fallowremates.com/remates/4,,,,n-n-n,0
2,CASPIAN,REMOTE (GB),AVALONIA,.026786014,.77422726,.034597095,.085324235,1,102.64931,Yes,No,16,91.587654,No,No,0,0,5892.9233,.057918251,-.0077343583,.12031709,.030907847,.069091767,.038395673,.0063814763,.0425218302189023,9.0356169,4,1,0,0,.19641915,442888,8,0,0,.11258273,08aug2023,0,.48464164,2,0,0,.085324235,.051759835,0,9,.039647575,16,Gran Venta Fallow Areco,https://www.fallowremates.com/remates/4,,,.089521162,y-n-n,1.5713532
38,CERCA DEL CIELO,SAFETY CHECK (IRE),TORRE DE BABEL,.0052898736,.53602093,.009868782,.019480519,0,95.282631,No,No,28,,No,No,0,,1163.7722,-.036746085,-.0081806183,-.057445802,-.040486462,-.11194827,.028788768,-.01157587,.0232833960426433,6.1863012,1,0,0,0,0,447227,9,0,0,-.06562642,21sep2023,0,.41558442,1,0,0,.019480519,.010600707,0,2,.010362694,11,Gran Venta Fallow Areco,https://www.fallowremates.com/remates/4,,,.049107142,n-n-n,
6,COFFEE BOY,NICODEMUS (USA),LA CAFEINA,.009485933,.53085631,.017869117,.045471769,5,99.953285,No,No,21,89.130142,No,No,0,0,2086.9053,.022089899,.037445053,-.020157173,-.041625805,.13300811,-.0048956163,-.0024776245,.0290431057073874,15.068493,9,3,0,0,.17545167,443220,8,0,0,.01728788,31aug2023,1,0,2,0,0,0,0,0,0,0,8,El Trebol,https://www.fallowremates.com/remates/6,,,,n-n-n,.59653568
83,COSA SERIA,TOUAREG,PIU BELLA COSA,.0024145937,.29653054,.0081428159,0,0,,No,No,0,,No,No,0,,531.21063,.03780514,-.063151799,-.015368305,-.090374701,-.12473487,-.025069572,-.011390174,.0531974220648408,3.9671233,1,0,0,0,0,442504,8,0,0,-.078520104,19aug2023,0,.61290324,1,0,0,0,0,0,0,0,19,Don Florentino - La Valkiria,https://www.fallowremates.com/remates/7,,,.0073529412,n-n-n,
