rank,M_M_pairs,PBRS,PB,PR,PS,highInbreedingPadrillos,inbreedingCoefficient,mother,Momsiblings,uncles,maternalParents,M_age_at_service,M_season_orig,birthRate,birthRateLast3,hadRestYear,M_total_rcs,M_won_rcs,M_cumAEI,M_STK_ran,M_STK_won,M_g1_STK_placed,M_g1_STK_won,MomSib_Sibs_at2y,MomSib_Sibs_exp_at2y,MomSib_Sibs_raced_at2y,MomSib_wnrs_STK_at2y,MSib_total_rcs_at2y,MSib_wSh_at2y,STK_races_total_races,MSib_STK_won_at2y,MSib_g1_STK_ran_at2y,MSib_g1_STK_won_at2y,MSib_g2_STK_won_at2y,MSib_sum_cumAEI_at2y,MSib_mean_cumAEI_at2y,MomMUnc_Sibs_at2y,MomMUnc_Sibs_raced_at2y,MomMUnc_wnrs_STK_at2y,MMUnc_total_rcs_at2y,MMUnc_wsh,MMUnc_STK_ranSh,MMUnc_g1_STK_ranSh,MMUnc_STK_won_at2y,MMUnc_g1_STK_won_at2y,MMUnc_g2_STK_won_at2y,MMUnc_mean_cumAEI_at2y,MomFUnc_Sibs_at2y,MFUnc_total_rcs_at2y,MFUnc_wsh,MFUnc_STK_ranSh,MFUnc_g1_STK_ranSh,MFUnc_STK_wSh,MFUnc_g1_wSh,MFUnc_mean_cumAEI_at2y,M_M_Races,M_M_Wins,M_M_STK_ran,M_M_cumAEI,Dam_Mean_T3_BSN,Dam_Total_Rcs,Best_Foal_Bsn,Dam_Sib_Total_G1G2,DamSibs_G1G2_Total,Dam_Raced_STK,Dam_Placed_STK,Best_Foal_Raced_Stk,Best_Foal_Placed_Stk,birth_eday,name_clean,padrillo_clean,M_clean,lote,haras,link,start,end_date
327,2,.021309715,.32758209,.76908761,.083725184,,.0377009409712628,-.064851895,.26721242,-.020548068,-.10731498,14.936986,11,.75,1,0,10,1,2.4254632,0,0,0,0,5,2,1,0,40,.15000001,.075000003,0,0,0,0,9.194202056154609,.22985505,9,7,1,82,.097560972,.12195122,0,2,0,1,.30227506,1482,8928,.1687948,.085349463,.027441757,.008400538,.0038082437,.31473759,5,1,0,1.4205874,84.590965,10,102.6953,0,0,No,No,No,No,02jul2026,muy premiada,equal stripes,muy aplaudida,26,ABOLENGO,https://arg-sales.com/remates/view/347,27-04-2025,30-04-2025
490,1,.012601494,.33749089,.7988863,.046253666,,.0358993442718786,-.10450647,-.02911105,-.0074375905,-.086335242,6.9232879,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,11,0,0,0,0,0,0,.012979356,406,2905,.12048193,.056798622,.012048192,.0086058518,.0024096386,.19259112,0,0,0,0,62.357384,7,0,0,0,No,No,No,No,02jul2026,myr alfa,zensational,mysterious angel,31,Fallow Latinoamericano,https://www.fallowremates.com/plataforma-remates/clientes/remates/listado/116,16-04-2025,16-04-2025
515,1,.0085390378,.35294157,.80489284,.029813072,,.0366279520533051,-.026592193,-.10510778,-.05164754,-.21036497,13.89589,11,.8888889,1,0,10,2,3.1463196,0,0,0,0,6,0,5,1,17,.11764706,0,0,0,0,0,1.565880285575986,.092110604,6,5,0,62,.12903225,.032258064,.016129032,0,0,0,.13637082,587,4836,.095533498,.03370554,.0086848633,.003101737,.0012406948,.15260607,23,3,2,5.7766781,100.79832,10,116.87695,6,.10526316,No,No,YES,YES,02jul2026,nabeela,asiatic boy,hahn,6,LA GENERACIÓN,https://arg-sales.com/remates/view/356,08-05-2025,11-05-2025
32,2,.045620896,.77888662,.81917888,.071157381,,.0402065562181087,-.060445827,-.061788686,.049845327,.051746856,9.8520546,6,1,1,0,9,1,1.5825911,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,8,8,1,91,.18681319,.32967034,.15384616,5,1,2,.52659023,133,1317,.1017464,.069096431,.02126044,.0060744113,.0037965071,.22517738,18,4,5,6.6635823,86.989014,9,65.415367,0,0,No,No,No,No,02jul2026,nashville femme,campanologist,nashville moon,20,VACACIÓN,https://arg-sales.com/remates/view/348,20-04-2025,23-04-2025
166,1,.029850505,.42684081,.83005232,.083798818,,.0379432462556137,.11088853,-.061788686,.054488774,-.03312676,8.9808216,5,1,1,0,13,4,7.0715504,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,75,.18666667,.12,.013333334,0,0,0,.24471213,523,4703,.14714013,.092706785,.022538805,.014884116,.0014884117,.24902564,0,0,0,0,100.64918,13,0,0,0,YES,YES,No,No,02jul2026,nemmesis,exchange rate,nor'easter kate,5,LA GENERACIÓN,https://arg-sales.com/remates/view/356,08-05-2025,11-05-2025
469,1,.013648263,.33524749,.77487832,.052177142,,.0393398070962821,-.037130669,-.02911105,-.016016752,-.096041106,5.7287669,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1482,8938,.16871783,.085253969,.027411055,.0083911391,.0038039831,.31465682,9,3,0,1.984939,,0,0,0,0,No,No,No,No,02jul2026,not for stripes,equal stripes,not for tap,1,Fallow Latinoamericano,https://www.fallowremates.com/plataforma-remates/clientes/remates/listado/116,16-04-2025,16-04-2025
75,1,.037352379,.59864795,.80534047,.076865822,,.028188085349484,-.021182096,.33023888,-.062440224,-.21507841,17.950686,14,1,1,0,24,4,8.9033928,1,0,0,0,10,1,9,0,88,.18181819,.25,4,3,0,2,37.19925123639405,.42271876,7,5,0,46,.15217391,0,0,0,0,0,.2187964,1110,11271,.1178245,.056073107,.014284447,.0066542453,.0017744654,.20142889,4,1,0,.90424299,116.13463,24,104.00105,1,.0087719299,Yes,No,YES,YES,02jul2026,not for touch,not for sale,inyectable,32,VACACIÓN,https://arg-sales.com/remates/view/348,20-04-2025,23-04-2025
482,1,.012976842,.3586022,.77417386,.046210341,,.0278753067231524,-.058634546,-.061788686,-.035176903,-.072242901,9.9287672,7,.75,.66666669,0,4,1,.90918738,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,7,4,0,39,.1025641,.051282052,0,0,0,0,.10012159,383,2853,.091132142,.032947775,.0035050823,.0035050823,0,.12299758,18,3,0,4.5667691,76.855057,4,0,0,0,No,No,No,No,02jul2026,operacion praga,most improved,la katlyn,17,Fallow Latinoamericano,https://www.fallowremates.com/plataforma-remates/clientes/remates/listado/116,16-04-2025,16-04-2025
452,1,.015141104,.35488841,.79904544,.052848082,,.0344350243828488,-.047857068,-.061788686,-.0083722249,-.051299985,8.9945202,3,1,0,0,7,1,.83834803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,59,.22033899,.050847456,0,0,0,0,.26760057,944,7937,.11918861,.05190878,.011339297,.0071815546,.00062996097,.17921163,0,0,0,0,76.199722,7,0,0,0,No,No,No,No,02jul2026,oriental liz,lizard island,reprisa,12,ABOLENGO,https://arg-sales.com/remates/view/347,27-04-2025,30-04-2025
488,1,.012649935,.32320273,.7489357,.051685385,,0,-.037130669,-.02911105,-.020577438,-.086335242,5.8767123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,.029168367,335,1838,.10174102,.04406964,.0092491843,.0081610447,.0010881393,.17772688,4,1,0,2.0315194,,0,0,0,0,No,No,No,No,02jul2026,osada soy,john f kennedy,oriental bay,32,ABOLENGO,https://arg-sales.com/remates/view/347,27-04-2025,30-04-2025
94,1,.035355069,.35019946,.82640451,.12121809,,0,.29561055,-.02911105,-.010029268,.035730112,6.8191781,1,0,0,0,27,5,13.8088,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,37,.13513513,0,0,0,0,0,.12628496,944,7917,.11898446,.049892638,.010989011,.0069470759,.00063155236,.17802605,5,2,0,1.8358948,113.42728,27,0,0,0,YES,YES,No,No,02jul2026,paliza salvaje,lizard island,paloma blanca,13,LA GENERACIÓN,https://arg-sales.com/remates/view/356,08-05-2025,11-05-2025
