name,padrillo,M,birth_eday,sex,PR,PS,PRS,Haras,value,valueUSDB,pricePerBp,title,source,auctionOrder,studbook_id,year,date
escola johan,curioso johan,tough city,01oct2019,Hembra,.49358812,.015787369,.0077924575,La Catedral,7200,3696.1155,4743.1963,La Hermana De Top One Scape Y Top One City Al Tope En La Venta De La Catedral,https://www.turfdiario.com/la-hermana-de-top-one-scape-y-top-one-city-al-tope-en-la-venta-de-la-catedral/,6,415741,2021,"22 oct, 2021"
maximo johan,curioso johan,musical box,04oct2019,Macho,.55112845,.016779162,.0092474734,La Catedral,9400,4825.4839,5218.1646,La Hermana De Top One Scape Y Top One City Al Tope En La Venta De La Catedral,https://www.turfdiario.com/la-hermana-de-top-one-scape-y-top-one-city-al-tope-en-la-venta-de-la-catedral/,2,415744,2021,"22 oct, 2021"
anda conmigo,angiolo,serpentine lane,08aug2019,Macho,.72039199,.10761804,.077527173,El Paraiso,26500,16455.969,2122.6067,Resumen Gran Venta Seleccion  Haras El Paraiso,https://www.turfdiario.com/resumen-gran-venta-seleccion-haras-el-paraiso/,46,415762,2021,"24 apr, 2021"
lear blue,le blues,seras mi vida,03sep2019,Macho,.65768355,.082640089,.054351028,El Paraiso,18000,9613.7119,1768.8187,Resumen Venta Primavera Online Haras El Paraiso,https://www.turfdiario.com/resumen-venta-primavera-online-haras-el-paraiso/,10,415763,2021,"26 sep, 2021"
estibador,il campione,sylvie,06sep2019,Macho,.70917946,.086836696,.0615828,El Paraiso,20000,12419.599,2016.7317,Resumen Gran Venta Seleccion  Haras El Paraiso,https://www.turfdiario.com/resumen-gran-venta-seleccion-haras-el-paraiso/,28,415768,2021,"24 apr, 2021"
amante real,angiolo,selhaly,07sep2019,Macho,.72694165,.066660821,.048458528,El Paraiso,14500,9004.209,1858.1268,Resumen Gran Venta Seleccion  Haras El Paraiso,https://www.turfdiario.com/resumen-gran-venta-seleccion-haras-el-paraiso/,54,415770,2021,"24 apr, 2021"
boy ultraminado,seek again,visa bay,10aug2019,Macho,.59347004,.056570191,.033572715,Tiara Stud,15000,7700.2402,2293.6006,La Hermana De Top One Scape Y Top One City Al Tope En La Venta De La Catedral,https://www.turfdiario.com/la-hermana-de-top-one-scape-y-top-one-city-al-tope-en-la-venta-de-la-catedral/,21,415771,2021,"22 oct, 2021"
fifty six,il campione,poloma,05sep2019,Macho,.75700092,.11582806,.087681949,Santa Ines,46000,28617.162,3263.7461,Gran Venta Copa Bullrich Mayo  Dia 3  Resumen,https://www.turfdiario.com/gran-venta-copa-bullrich-mayo-dia-3-resumen/,122,415772,2021,"21 may, 2021"
key beach,il campione,keyana washington,04sep2019,Hembra,.6954366,.078375645,.054505292,Don Arcangel,21500,11502.581,2110.3604,Gran Venta Fallow Jockey  Resumen,https://www.turfdiario.com/gran-venta-fallow-jockey-resumen/,34,415774,2021,"19 oct, 2021"
any claire,angiolo,donna valente,01sep2019,Hembra,.62448704,.038677789,.024153778,El Paraiso,690000,4876.3252,2018.8665,Gran Venta Anual Haras El Paraiso  Resumen,https://www.turfdiario.com/gran-venta-anual-haras-el-paraiso-resumen/,17,415783,2021,"22 mar, 2021"
allaia,angiolo,strong desire,02sep2019,Hembra,.6509577,.043279693,.028173249,El Paraiso,10500,5607.9985,1990.5402,Resumen Venta Primavera Online Haras El Paraiso,https://www.turfdiario.com/resumen-venta-primavera-online-haras-el-paraiso/,22,415784,2021,"26 sep, 2021"
long view,le blues,pitussa stone,04sep2019,Macho,.63318056,.024716161,.015649794,El Paraiso,17300,10742.953,6864.5972,Resumen Gran Venta Seleccion  Haras El Paraiso,https://www.turfdiario.com/resumen-gran-venta-seleccion-haras-el-paraiso/,44,415788,2021,"24 apr, 2021"
gadzooks,galan de cine,first face,09sep2019,Macho,.75572163,.037454676,.028305309,El Paraiso,560000,3957.5972,1398.1819,Gran Venta Anual Haras El Paraiso  Resumen,https://www.turfdiario.com/gran-venta-anual-haras-el-paraiso-resumen/,23,415791,2021,"22 mar, 2021"
escape hatch,il campione,glad fantasy,08sep2019,Macho,.86764157,.088026561,.076375507,El Paraiso,24000,14903.519,1951.3479,Resumen Gran Venta Seleccion  Haras El Paraiso,https://www.turfdiario.com/resumen-gran-venta-seleccion-haras-el-paraiso/,15,415792,2021,"24 apr, 2021"
vuelve primavera,in the dark,ventolina holiday,21sep2019,Hembra,.81481928,.04434799,.036135599,Vacacion,49000,31971.813,8847.7324,Resumen Gran Venta Selecta Haras Abolengo Y Haras Vacacion,https://www.turfdiario.com/resumen-gran-venta-selecta-haras-abolengo-y-haras-vacacion/,68,415803,2021,"29 mar, 2021"
charlatana soy,equal stripes,stormy convicta,09sep2019,Hembra,.5116418,.04712772,.024112511,Abolengo,72000,46978.988,19483.242,Resumen Gran Venta Selecta Haras Abolengo Y Haras Vacacion,https://www.turfdiario.com/resumen-gran-venta-selecta-haras-abolengo-y-haras-vacacion/,39,415811,2021,"29 mar, 2021"
matrician,john f kennedy,matricular,09sep2019,Macho,.4649252,.025957901,.012068482,Abolengo,8000,4431.3071,3671.8015,Gran Venta Estrellas Haras Abolengo  Resumen,https://www.turfdiario.com/gran-venta-estrellas-haras-abolengo-resumen/,30,415812,2021,"27 jun, 2021"
ideal song,long island sound,ildiva,10sep2019,Hembra,.56890142,.030305743,.017240981,Abolengo,15500,10113.532,5865.9844,Resumen Gran Venta Selecta Haras Abolengo Y Haras Vacacion,https://www.turfdiario.com/resumen-gran-venta-selecta-haras-abolengo-y-haras-vacacion/,73,415813,2021,"29 mar, 2021"
costo final,john f kennedy,cosa noble,11sep2019,Macho,.53537345,.037402399,.020024251,Abolengo,12000,6471.7988,3231.9805,Beta Linda El Precio Mas Alto En La Venta De Abolengo / Resumen,https://www.turfdiario.com/beta-linda-el-precio-mas-alto-en-la-venta-de-abolengo-resumen/,10,415815,2021,"15 aug, 2021"
emily rich,cosmic trigger,emanecida,12sep2019,Hembra,.55815262,.029484779,.016457006,Abolengo,8000,4314.5327,2621.6997,Beta Linda El Precio Mas Alto En La Venta De Abolengo / Resumen,https://www.turfdiario.com/beta-linda-el-precio-mas-alto-en-la-venta-de-abolengo-resumen/,11,415817,2021,"15 aug, 2021"
galerindo,cosmic trigger,galerista,13sep2019,Macho,.68324256,.039218485,.026795737,Abolengo,14500,7820.0903,2918.4084,Beta Linda El Precio Mas Alto En La Venta De Abolengo / Resumen,https://www.turfdiario.com/beta-linda-el-precio-mas-alto-en-la-venta-de-abolengo-resumen/,1,415818,2021,"15 aug, 2021"
sere bueno,john f kennedy,seracina,13sep2019,Macho,.49413341,.03287711,.016245678,Abolengo,10600,5716.7554,3518.9392,Beta Linda El Precio Mas Alto En La Venta De Abolengo / Resumen,https://www.turfdiario.com/beta-linda-el-precio-mas-alto-en-la-venta-de-abolengo-resumen/,27,415819,2021,"15 aug, 2021"
intense sound,long island sound,intense love,13sep2019,Macho,.59549075,.052414712,.031212477,Abolengo,12300,6813.1343,2182.824,Gran Venta Estrellas Haras Abolengo  Resumen,https://www.turfdiario.com/gran-venta-estrellas-haras-abolengo-resumen/,27,415820,2021,"27 jun, 2021"
intense sound,long island sound,intense love,13sep2019,Macho,.60624558,.052414712,.031776186,Abolengo,11500,7503.5884,2361.3875,Resumen Gran Venta Selecta Haras Abolengo Y Haras Vacacion,https://www.turfdiario.com/resumen-gran-venta-selecta-haras-abolengo-y-haras-vacacion/,77,415820,2021,"29 mar, 2021"
mayla johan,curioso johan,mayla inc,08oct2019,Hembra,.53866285,.019399771,.010449937,La Catedral,9000,4620.144,4421.2173,La Hermana De Top One Scape Y Top One City Al Tope En La Venta De La Catedral,https://www.turfdiario.com/la-hermana-de-top-one-scape-y-top-one-city-al-tope-en-la-venta-de-la-catedral/,7,415821,2021,"22 oct, 2021"
seÑora bagaces,lizard island,senora saeki,05aug2019,Hembra,.61640954,.023008723,.014182797,El Solitario,5500,3305.3804,2330.5562,Gran Venta Fallow Republica  Resumen,https://www.turfdiario.com/gran-venta-fallow-republica-resumen-2/,42,415850,2021,"15 jun, 2021"
la preferita,bodemeister,la capelleta,20sep2019,Hembra,.50943381,.022167502,.011292875,La Pasion,11000,6087.8467,5390.874,Venta Copa Bullrich Junio  Resumen,https://www.turfdiario.com/venta-copa-bullrich-junio-resumen/,10,415872,2021,"25 jun, 2021"
divicenzo,easing along,devotion unbridled,18sep2019,Macho,.73777574,.043086633,.031788271,La Pasion,32500,18958.584,5964.0186,Resumen  Venta Seleccion Productos 2019 Haras La Pasion,https://www.turfdiario.com/resumen-venta-seleccion-productos-2019-haras-la-pasion/,5,415878,2021,"28 apr, 2021"
